거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"     155,000", ,2008,2021, 사직동,광화문스페이스본(101동~105동),3,3,158.99, ,9,11110,7, , 
"     134,000", ,2008,2021, 사직동,광화문스페이스본(101동~105동),3,6,95.88, ,9,11110,5, , 
"     134,500", ,2008,2021, 사직동,광화문스페이스본(101동~105동),3,6,95.88, ,9,11110,5,21.05.28,O
"     144,000", ,2008,2021, 사직동,광화문스페이스본(101동~105동),3,13,108.07, ,9,11110,5, , 
"     144,000", ,2008,2021, 사직동,광화문스페이스본(101동~105동),3,13,108.07, ,9,11110,5,21.05.03,O
"     184,000", ,2008,2021, 사직동,광화문스페이스본(101동~105동),3,20,159.01, ,9,11110,5, , 
"      33,000", ,2003,2021, 익선동,현대뜨레비앙,3,11,48.54, ,55,11110,6, , 
"      26,000", ,2003,2021, 익선동,현대뜨레비앙,3,22,36.08, ,55,11110,6, , 
"      25,000", ,2003,2021, 익선동,현대뜨레비앙,3,24,45.5, ,55,11110,3, , 
"      30,000", ,2003,2021, 익선동,현대뜨레비앙,3,29,46.64, ,55,11110,4, , 
"      78,000", ,2006,2021, 인의동,효성쥬얼리시티,3,5,84.98, ,48-2,11110,8, , 
"      26,000", ,2017,2021, 효제동,포레스트힐시티,3,15,22.0584, ,65-2,11110,11, , 
"      91,000", ,2006,2021, 명륜1가,렉스빌,3,3,107.94, ,19,11110,7, , 
"      48,000", ,2003,2021, 명륜1가,송림아마레스아파트,3,17,53.42, ,2-12,11110,6, , 
"     107,500", ,1995,2021, 명륜2가,아남1,3,17,84.9, ,4,11110,19, , 
"     109,250", ,1995,2021, 명륜2가,아남1,3,31,84.9, ,4,11110,9, , 
"      66,000", ,1993,2021, 창신동,창신쌍용2,3,1,64.66, ,703,11110,4, , 
"      89,700", ,1993,2021, 창신동,창신쌍용2,3,1,106.62, ,703,11110,11, , 
"      68,500", ,1992,2021, 창신동,창신쌍용1,3,13,54.7, ,702,11110,10, , 
"      98,500", ,1992,2021, 창신동,창신쌍용1,3,15,106.62, ,702,11110,12, , 
"      80,000", ,1993,2021, 창신동,창신쌍용2,3,17,79.87, ,703,11110,7, , 
"      63,300", ,1993,2021, 창신동,창신쌍용2,3,20,54.7, ,703,11110,4, , 
"      53,000", ,1999,2021, 창신동,덕산,3,25,59.28, ,639-50,11110,4,21.05.24,O
"      53,000", ,1999,2021, 창신동,덕산,3,25,59.28, ,639-50,11110,4, , 
"      79,500", ,1999,2021, 창신동,두산,3,26,59.95, ,232,11110,14, , 
"      86,500", ,1992,2021, 창신동,창신쌍용1,3,26,79.87, ,702,11110,13, , 
"      11,450", ,2013,2021, 숭인동,종로동광모닝스카이,3,11,15.855, ,1421-1,11110,12, , 
"     104,500", ,2004,2021, 숭인동,롯데캐슬천지인,3,12,84.95, ,76,11110,20, , 
"      11,000", ,2013,2021, 숭인동,종로유케이201,3,15,12.01, ,201-11,11110,12, , 
"      31,000", ,1996,2021, 숭인동,동문A,3,23,59, ,545,11110,2, , 
"      12,250", ,2014,2021, 숭인동,삼전솔하임4차,3,28,15.09, ,318-2,11110,12, , 
"     151,000", ,2017,2021, 평동,경희궁자이(3단지),3,18,59.755, ,233,11110,2, , 
"     175,000", ,2017,2021, 홍파동,경희궁자이(2단지),3,7,84.934, ,199,11110,4, , 
"     220,000", ,2017,2021, 홍파동,경희궁자이(2단지),3,8,101.991, ,199,11110,6, , 
"     160,000", ,2017,2021, 홍파동,경희궁자이(2단지),3,11,59.855, ,199,11110,13, , 
"     192,000", ,2017,2021, 홍파동,경희궁자이(2단지),3,31,84.836, ,199,11110,15, , 
"       7,500", ,1971,2021, 행촌동,대성아파트,3,11,19.27, ,41-1,11110,1, , 
"     125,000", ,2009,2021, 평창동,엘리시아,3,10,213.07, ,66-1,11110,2, , 
"      65,000", ,2017,2021, 평창동,밀레니엄,3,13,84.41, ,179-5,11110,3, , 
"      50,000", ,1998,2021, 평창동,삼성,3,19,84.98, ,596,11110,1, , 
"     120,000", ,2009,2021, 평창동,엘리시아,3,23,200.19, ,66-1,11110,1, , 
"      51,500", ,1996,2021, 평창동,일성빌라트,3,25,59.82, ,145-5,11110,2, , 
"      48,500", ,2004,2021, 부암동,부암스카이뷰,3,19,81, ,218-1,11110,5, , 
"      45,000", ,2002,2021, 신영동,구암하이빌,3,1,84.94, ,105-22,11110,3, , 
"     139,800", ,2008,2021, 무악동,인왕산아이파크,3,6,84.858, ,60,11110,8,21.08.20,O
"     139,800", ,2008,2021, 무악동,인왕산아이파크,3,6,84.858, ,60,11110,8, , 
"     165,000", ,2008,2021, 무악동,인왕산아이파크,3,6,157.289, ,60,11110,7, , 
"     144,950", ,2000,2021, 무악동,현대,3,11,114.9, ,82,11110,19, , 
