거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"     120,000",중개거래,2003,2022, 신도림동,대림e-편한세상5,8,12,84.789,서울 구로구,647,11530,17, , 
"     119,000",중개거래,1999,2022, 신도림동,대림1,8,18,134.99,서울 구로구,642,11530,1, , 
"      36,000",직거래,2018,2022, 신도림동,신도림 아르디에,8,31,31.94, ,695,11530,3, , 
"      14,300",중개거래,2011,2022, 구로동,하나세인스톤2차,8,2,19.33,서울 구로구,97-4,11530,14, , 
"      11,800",중개거래,2015,2022, 구로동,대림역포스큐,8,3,14.579,서울 구로구,106-2,11530,19, , 
"      16,000",중개거래,2011,2022, 구로동,하나세인스톤1차,8,3,21.7256,서울 구로구,110-8,11530,13, , 
"      10,700",중개거래,2012,2022, 구로동,비즈트위트그린,8,4,14.86,서울 구로구,98-10,11530,16, , 
"      22,300",중개거래,1996,2022, 구로동,(797-5),8,6,33.12,서울 구로구,797-5,11530,2, , 
"      12,000",중개거래,2012,2022, 구로동,비즈트위트레인보우,8,7,15.58,서울 구로구,44-5,11530,2, , 
"      10,000",직거래,2013,2022, 구로동,비즈트위트오렌지,8,8,15.6, ,44-8,11530,2, , 
"      79,000",중개거래,2006,2022, 구로동,구로에스케이뷰,8,9,84.945,서울 구로구,567-4,11530,5, , 
"      20,000",직거래,2011,2022, 구로동,하나세인스톤1차,8,9,21.7256, ,110-8,11530,12, , 
"      30,500",중개거래,1997,2022, 구로동,(780-50),8,12,50.34,서울 구로구,780-50,11530,4, , 
"      13,500",중개거래,2012,2022, 구로동,종인아네스트,8,16,21.29,서울 구로구,110,11530,17, , 
"      15,000",중개거래,2002,2022, 구로동,성호메이플라워멤버스빌,8,17,31.75,서울 구로구,104-9,11530,7, , 
"      18,000",직거래,2012,2022, 구로동,종인아네스트,8,19,16.04, ,110,11530,16, , 
"      49,450",중개거래,1998,2022, 구로동,구로두산,8,19,44.64,서울 구로구,1265,11530,20, , 
"      11,800",직거래,2012,2022, 구로동,비즈트위트레인보우,8,22,15.17, ,44-5,11530,4, , 
"      77,000",중개거래,1989,2022, 구로동,현대연예인,8,26,74.94,서울 구로구,685-70,11530,8, , 
"      10,900",중개거래,2012,2022, 구로동,비즈트위트그린,8,31,15.11,서울 동작구,98-10,11530,14, , 
"      12,000",중개거래,2015,2022, 구로동,대림역포스큐,8,31,14.579,서울 구로구,106-2,11530,16, , 
"      57,000",중개거래,1985,2022, 고척동,한효,8,22,63.57,서울 구로구,52-332,11530,10, , 
"      61,000",중개거래,1996,2022, 고척동,우성꿈동산,8,23,84.19,서울 구로구,321,11530,1, , 
"      32,000",중개거래,1976,2022, 고척동,산업인,8,23,48.04,서울 구로구,57-9,11530,4, , 
"      74,000",중개거래,1999,2022, 개봉동,한마을,8,10,59.57,서울 구로구,476,11530,16, , 
"      70,000",중개거래,2000,2022, 개봉동,한진,8,16,84.96,서울 구로구,478,11530,15, , 
"      59,000",중개거래,1995,2022, 개봉동,삼환,8,19,59.4,서울 구로구,470,11530,20, , 
"      99,000",중개거래,2001,2022, 개봉동,현대,8,26,114.99,서울 구로구,481,11530,16, , 
"      80,000",중개거래,2001,2022, 개봉동,현대,8,26,114.99,서울 구로구,481,11530,7, , 
"      11,550",중개거래,2016,2022, 오류동,오류동역솔리스타,8,2,19.09,경기 광명시,75-2,11530,6, , 
"      77,000",중개거래,2002,2022, 오류동,영풍마드레빌,8,13,84.741,서울 구로구,342,11530,3, , 
"       8,350",중개거래,2014,2022, 오류동,썬앤빌,8,20,14.064,서울 구로구,34-13,11530,11, , 
"      60,000",중개거래,2003,2022, 오류동,경남아너스빌,8,20,59.98,서울 구로구,344,11530,5, , 
"      68,000",중개거래,2003,2022, 오류동,금강(343),8,20,60.054,서울 구로구,343,11530,1, , 
"      37,200",중개거래,1986,2022, 오류동,길훈,8,27,53.94,서울 구로구,150-42,11530,4, , 
"      10,000",직거래,2016,2022, 오류동,오류동역솔리스타,8,31,19.27, ,75-2,11530,9, , 
"      65,000",직거래,2011,2022, 천왕동,천왕이펜하우스1단지,8,25,59.94, ,282,11530,1, , 
"      66,000",중개거래,2019,2022, 항동,하버라인3단지,8,27,59.86,서울 구로구,242,11530,10, , 
