거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"     249,000", ,2010,2020, 역삼동,래미안그레이튼(진달래2차),3,4,121.54, ,762-3,11680,33, , 
"      21,000", ,2012,2020, 역삼동,대명벨리온,3,5,17.684, ,727-2,11680,3, , 
"     167,000", ,2006,2020, 역삼동,역삼푸르지오,3,6,59.8848, ,754-1,11680,21, , 
"      52,000", ,2003,2020, 역삼동,지석천평대,3,7,59.77, ,789-29,11680,7, , 
"      83,000", ,1996,2020, 역삼동,우성빌라트,3,7,129.72, ,797-12,11680,1, , 
"     125,000", ,2005,2020, 역삼동,역삼동월드메르디앙,3,7,81.76, ,795-41,11680,7, , 
"     243,000", ,2014,2020, 역삼동,테헤란아이파크,3,7,92.6232, ,709-5,11680,21, , 
"      39,000", ,1996,2020, 역삼동,한스빌(836),3,9,52.27, ,836,11680,2, , 
"      32,800", ,2004,2020, 역삼동,강남역우정에쉐르,3,9,26.68, ,823-7,11680,13, , 
"     221,000", ,2014,2020, 역삼동,테헤란아이파크,3,10,92.6232, ,709-5,11680,1, , 
"     205,000", ,2005,2020, 역삼동,e-편한세상,3,16,84.991, ,755-4,11680,7, , 
"      34,000", ,2002,2020, 역삼동,대우디오빌,3,19,30.03, ,720-25,11680,11, , 
"     156,000", ,2005,2020, 역삼동,역삼래미안,3,19,59.4, ,757,11680,11, , 
"     162,000", ,2005,2020, 역삼동,e-편한세상,3,27,59.606, ,755-4,11680,5, , 
"     226,000", ,1982,2020, 개포동,개포주공1단지,3,2,58.08, ,141,11680,1, , 
"     124,000", ,1992,2020, 개포동,성원대치2단지아파트,3,3,49.86, ,12,11680,4, , 
"     309,500", ,1982,2020, 개포동,개포주공1단지,3,4,56.57, ,141,11680,4, , 
"     123,500", ,1992,2020, 개포동,성원대치2단지아파트,3,6,49.86, ,12,11680,10, , 
"     203,000", ,1982,2020, 개포동,개포주공1단지,3,6,41.98, ,141,11680,5, , 
"     158,500", ,1983,2020, 개포동,개포주공6단지,3,7,53.06, ,185,11680,11, , 
"     247,000", ,1984,2020, 개포동,경남2차,3,9,149.21, ,649,11680,5, , 
"     263,000", ,2019,2020, 개포동,래미안블레스티지,3,11,84.94, ,1280,11680,15, , 
"     228,000", ,2019,2020, 개포동,디에이치아너힐즈,3,11,76.17, ,138,11680,2, , 
"     200,000", ,1983,2020, 개포동,개포주공6단지,3,12,83.21, ,185,11680,4, , 
"     215,000", ,1982,2020, 개포동,개포주공1단지,3,12,56.57, ,141,11680,1, , 
"      91,000", ,1992,2020, 개포동,성원대치2단지아파트,3,14,33.18, ,12,11680,7, , 
"     264,000", ,1982,2020, 개포동,개포주공1단지,3,19,50.38, ,141,11680,1, , 
"      62,000", ,2002,2020, 개포동,리더스,3,20,84.16, ,1164-25,11680,6, , 
"     102,250", ,1992,2020, 개포동,성원대치2단지아파트,3,23,39.53, ,12,11680,8, , 
"     138,000", ,1992,2020, 개포동,삼익대청아파트,3,25,60, ,12,11680,14, , 
"     167,500", ,1983,2020, 개포동,개포주공6단지,3,26,73.02, ,185,11680,12, , 
"     235,000", ,1982,2020, 개포동,개포주공1단지,3,27,49.56, ,141,11680,3, , 
"     190,000", ,1982,2020, 개포동,개포주공1단지,3,30,50.64, ,141,11680,3, , 
"      85,000", ,1992,2020, 개포동,성원대치2단지아파트,3,30,33.18, ,12,11680,9, , 
"     194,000", ,1982,2020, 개포동,개포주공1단지,3,30,50.64, ,141,11680,4, , 
"     185,000", ,1997,2020, 청담동,연세빌라(102-6),3,2,125.64, ,102-6,11680,13, , 
"     148,000", ,2007,2020, 청담동,청담범신칼릭스빌2차,3,2,102.69, ,109-16,11680,5, , 
"     239,000", ,2011,2020, 청담동,청담자이,3,3,82.952, ,134-38,11680,14, , 
"      24,500", ,2015,2020, 청담동,청담스위트,3,11,13.425, ,34-13,11680,6, , 
"     190,000", ,1994,2020, 청담동,청담건영,3,11,84.595, ,108,11680,5, , 
"      59,300", ,2005,2020, 청담동,휴먼스타빌,3,12,35.905, ,5-25,11680,20, , 
"     190,000", ,1999,2020, 청담동,삼성청담아파트,3,20,114.83, ,42,11680,18, , 
"     520,000", ,2019,2020, 청담동,청담어퍼하우스,3,23,197.73, ,64-1,11680,5, , 
"     220,000", ,2000,2020, 청담동,상지리츠빌4B,3,26,172.98, ,114-18,11680,5, , 
"     165,000", ,2005,2020, 삼성동,삼성동에스케이뷰,3,6,84.88, ,101,11680,7, , 
