거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"     255,000",중개거래,2008,2021, 잠실동,리센츠,12,2,84.99,서울 송파구,22,11710,5, , 
"     285,000",중개거래,2006,2021, 잠실동,레이크팰리스,12,3,116.19,서울 송파구,44,11710,16, , 
"     257,000",중개거래,2008,2021, 잠실동,리센츠,12,4,84.99,서울 송파구,22,11710,11, , 
"      31,500",중개거래,2021,2021, 잠실동,NS파인트리,12,6,19.7,서울 송파구,183-12,11710,13, , 
"     385,000",중개거래,1986,2021, 잠실동,아시아선수촌아파트,12,9,151.008,서울 송파구,86,11710,4, , 
"     270,000",중개거래,2006,2021, 잠실동,레이크팰리스,12,17,116.19,서울 송파구,44,11710,20, , 
"     264,500",중개거래,2008,2021, 잠실동,잠실엘스,12,21,84.8,"경기 성남분당구, 서울 송파구",19,11710,20, , 
"     148,000",중개거래,1990,2021, 잠실동,현대,12,23,84.68,서울 송파구,331,11710,6, , 
"     184,000",중개거래,2006,2021, 잠실동,레이크팰리스,12,27,59.97,서울 송파구,44,11710,8, , 
"     251,000",중개거래,2008,2021, 잠실동,잠실엘스,12,27,84.88,서울 송파구,19,11710,20, , 
"     278,000",중개거래,1978,2021, 잠실동,주공아파트 5단지,12,29,76.5,서울 송파구,27,11710,5, , 
"     350,000",중개거래,2008,2021, 잠실동,리센츠,12,30,124.22,서울 송파구,22,11710,20, , 
"      82,900",중개거래,1988,2021, 신천동,한신코아,12,1,31.5,서울 송파구,11-9,11710,3, , 
"     105,000",직거래,1988,2021, 신천동,한신코아,12,21,41.99, ,11-9,11710,14, , 
"     124,500",중개거래,1998,2021, 풍납동,씨티극동1,12,1,83.5,"서울 송파구, 충북 제천시",509,11710,5, , 
"     120,000",직거래,1985,2021, 풍납동,미성,12,9,116.965, ,219,11710,1, , 
"     114,500",중개거래,1999,2021, 풍납동,현대리버빌1지구,12,10,59.96,서울 송파구,260,11710,5, , 
"     107,000",중개거래,1999,2021, 풍납동,현대리버빌2지구,12,11,59.4,서울 송파구,261,11710,10, , 
"      95,000",직거래,1995,2021, 풍납동,현대1,12,21,71.17, ,413-1,11710,15, , 
"      82,500",중개거래,1999,2021, 풍납동,현대리버빌1지구,12,25,43.2,서울 송파구,260,11710,3, , 
"     185,000",중개거래,1999,2021, 풍납동,현대리버빌1지구,12,31,187.12,서울 송파구,260,11710,4, , 
"     121,500",중개거래,1997,2021, 송파동,현대,12,4,59.91,서울 송파구,163-14,11710,10, , 
