거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"      68,000", ,1989,2021, 신도림동,미성,9,1,37.91, ,290,11530,4,21.10.09,O
"      91,500", ,2001,2021, 신도림동,대림2,9,4,59.88, ,642,11530,2, , 
"      96,000", ,1999,2021, 신도림동,대림1,9,9,59.88, ,642,11530,6, , 
"     164,800", ,2011,2021, 신도림동,디큐브시티,9,10,105.45, ,692,11530,36, , 
"     145,000", ,2004,2021, 신도림동,대림e-편한세상7,9,12,84.928, ,649,11530,25, , 
"     115,500", ,1996,2021, 신도림동,우성2,9,12,84.94, ,639,11530,1, , 
"      94,200", ,2001,2021, 신도림동,대림2,9,15,59.9, ,642,11530,3, , 
"     170,000", ,2003,2021, 신도림동,대림e-편한세상4,9,17,117.74, ,646,11530,18, , 
"     180,000", ,2003,2021, 신도림동,대림e-편한세상4,9,17,117.74, ,646,11530,3, , 
"     143,500", ,1999,2021, 신도림동,대림1,9,17,134.99, ,642,11530,15, , 
"      18,500", ,2018,2021, 신도림동,신도림 아르디에,9,23,18.95, ,695,11530,3, , 
"      18,500", ,2018,2021, 신도림동,신도림 아르디에,9,23,18.95, ,695,11530,3,21.10.06,O
"     166,500", ,2011,2021, 신도림동,디큐브시티,9,23,105.45, ,692,11530,19, , 
"     123,500", ,2001,2021, 신도림동,대림2,9,25,84.95, ,642,11530,5, , 
"     124,800", ,1999,2021, 신도림동,대림1,9,25,84.95, ,642,11530,19, , 
"     108,000", ,1999,2021, 신도림동,동아1,9,29,59.978, ,643,11530,20, , 
"     109,700", ,1986,2021, 구로동,주공1,9,1,83.805, ,685-222,11530,6, , 
"      81,000", ,1987,2021, 구로동,주공2,9,1,49.94, ,685-223,11530,5, , 
"      13,500", ,2011,2021, 구로동,하나세인스톤2차,9,2,19.33, ,97-4,11530,12, , 
"      69,000", ,1984,2021, 구로동,극동,9,2,91.05, ,314,11530,10, , 
"      59,900", ,1998,2021, 구로동,구로두산,9,2,44.64, ,1265,11530,5, , 
"      27,200", ,1987,2021, 구로동,(743-33),9,3,58.89, ,743-33,11530,1, , 
"      22,800", ,1984,2021, 구로동,(798-21),9,3,40.68, ,798-21,11530,1, , 
"      59,400", ,1998,2021, 구로동,구로두산,9,4,44.64, ,1265,11530,13, , 
