거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"     142,000", ,2008,2020, 사직동,광화문스페이스본(101동~105동),9,10,121.37, ,9,11110,5, , 
"     167,000", ,2008,2020, 사직동,광화문스페이스본(106동),9,16,153.42, ,9-1,11110,8, , 
"     137,000", ,2008,2020, 사직동,광화문스페이스본(101동~105동),9,26,108.55, ,9,11110,1, , 
"     165,000", ,2004,2020, 내수동,경희궁의아침3단지,9,30,150.48, ,72,11110,7, , 
"     321,000", ,2020,2020, 신문로2가,디팰리스,9,23,148.111, ,171,11110,17, , 
"      29,800", ,2003,2020, 익선동,현대뜨레비앙,9,15,43.98, ,55,11110,6, , 
"      32,700", ,2003,2020, 익선동,현대뜨레비앙,9,21,48.54, ,55,11110,6, , 
"      24,750", ,1999,2020, 동숭동,동성아파트(1동),9,28,57.96, ,4-161,11110,3, , 
"      48,000", ,2003,2020, 명륜1가,리치캐슬아파트,9,19,71.31, ,33-85,11110,1, , 
"      76,000", ,1996,2020, 명륜2가,아남2,9,14,59.4, ,236,11110,9, , 
"      66,250", ,1992,2020, 창신동,창신쌍용1,9,1,79.87, ,702,11110,1, , 
"      35,000", ,1973,2020, 창신동,동대문맨션,9,1,95.54, ,578-5,11110,4, , 
"      66,250", ,1992,2020, 창신동,창신쌍용1,9,1,79.87, ,702,11110,1, , 
"      71,500", ,1993,2020, 창신동,창신쌍용2,9,5,79.87, ,703,11110,12, , 
"      73,000", ,1992,2020, 창신동,창신쌍용1,9,7,79.87, ,702,11110,2, , 
"     107,000", ,2009,2020, 숭인동,종로청계힐스테이트,9,1,114.7153, ,766,11110,7, , 
"      11,700", ,2013,2020, 숭인동,종로동광모닝스카이,9,17,15.855, ,1421-1,11110,13, , 
"      28,800", ,1998,2020, 숭인동,하림빌라트,9,19,47.63, ,473,11110,4, , 
"      55,000", ,1979,2020, 숭인동,숭인상가,9,25,93.6, ,204-11,11110,6, , 
"     170,000", ,2017,2020, 평동,경희궁자이(3단지),9,12,84.836, ,233,11110,5, , 
"     207,000", ,2017,2020, 홍파동,경희궁자이(2단지),9,3,101.991, ,199,11110,11, , 
"     177,000", ,2017,2020, 홍파동,경희궁자이(2단지),9,25,84.836, ,199,11110,4, , 
"      87,700", ,1995,2020, 교북동,동아,9,20,99.29, ,101,11110,4, , 
"     102,000", ,2017,2020, 교북동,경희궁자이(4단지),9,28,45.879, ,126,11110,8, , 
"      27,000", ,1997,2020, 평창동,갑을아파트,9,1,64.88, ,595,11110,11, , 
"     120,000", ,2009,2020, 평창동,엘리시아,9,16,213.07, ,66-1,11110,5, , 
"     178,000", ,2009,2020, 평창동,롯데캐슬로잔,9,19,244.937, ,108,11110,5, , 
"      65,000", ,1996,2020, 평창동,일성빌라트,9,28,84.99, ,145-5,11110,4, , 
"      32,000", ,1997,2020, 평창동,갑을아파트,9,29,53.33, ,595,11110,13, , 
"      40,500", ,1998,2020, 신영동,대아파크빌,9,15,59.22, ,254,11110,10, , 
"      40,000", ,1998,2020, 신영동,대아파크빌,9,19,59.22, ,254,11110,11, , 
"     110,000", ,2015,2020, 무악동,인왕산2차아이파크,9,11,84.4541, ,88,11110,6, , 
"     124,950", ,2000,2020, 무악동,현대,9,14,114.9, ,82,11110,19, , 
"     109,490", ,2000,2020, 무악동,현대,9,16,84.92, ,82,11110,23, , 
"     104,500", ,2000,2020, 무악동,현대,9,24,84.92, ,82,11110,7, , 
"     101,300", ,2008,2020, 무악동,인왕산아이파크,9,26,59.993, ,60,11110,9, , 
