거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"     174,000", ,1986,2021, 명일동,현대(고덕),2,1,131.83, ,56,11740,11, , 
"     127,800", ,2019,2021, 명일동,래미안솔베뉴,2,1,59.11, ,359,11740,9, , 
"     138,000", ,1985,2021, 명일동,고덕주공9,2,3,83.52, ,257,11740,2, , 
"      94,300", ,1988,2021, 명일동,현대(명일),2,6,84.66, ,251-1,11740,15, , 
"     146,000", ,1984,2021, 명일동,삼익가든,2,9,117.76, ,270,11740,10, , 
"      73,800", ,2004,2021, 명일동,태천해오름102동B,2,10,94.64, ,352-18,11740,6, , 
"     110,000", ,1999,2021, 명일동,명일지에스아파트,2,15,84.9, ,332,11740,21, , 
"     165,000", ,1986,2021, 명일동,신동아,2,16,112.93, ,44,11740,6, , 
"     108,000", ,1984,2021, 명일동,삼익가든,2,16,66.87, ,270,11740,10, , 
"      82,700", ,1999,2021, 명일동,명일지에스아파트,2,22,59.79, ,332,11740,3, , 
"     165,000", ,1983,2021, 명일동,삼익그린2차,2,22,107.555, ,15,11740,2, , 
"     129,000", ,1984,2021, 명일동,삼익그린2차,2,23,66.87, ,15,11740,14, , 
"     137,000", ,2019,2021, 명일동,래미안솔베뉴,2,25,59.11, ,359,11740,33, , 
"     133,000", ,2019,2021, 명일동,래미안솔베뉴,2,26,59.11, ,359,11740,15, , 
"     130,000", ,1983,2021, 명일동,삼익그린2차,2,27,66.87, ,15,11740,14, , 
"     117,000", ,1984,2021, 명일동,삼익그린2차,2,27,54.81, ,15,11740,14, , 
"     143,000", ,2019,2021, 고덕동,고덕그라시움,2,1,59.785, ,693,11740,27, , 
"     114,000", ,2020,2021, 고덕동,고덕센트럴푸르지오,2,1,59.14, ,210-1,11740,12, , 
"     138,500", ,1995,2021, 고덕동,배재현대,2,6,84.9, ,312,11740,19, , 
"     176,000", ,2019,2021, 고덕동,고덕그라시움,2,8,84.24, ,693,11740,12, , 
"     133,500", ,2011,2021, 고덕동,고덕 아이파크,2,15,59.99, ,499,11740,7, , 
"     133,000", ,2016,2021, 고덕동,래미안힐스테이트고덕,2,16,59.35, ,688,11740,28, , 
"     131,000", ,2019,2021, 고덕동,고덕그라시움,2,17,59.785, ,693,11740,19, , 
"     106,000", ,1995,2021, 고덕동,배재현대,2,20,59.94, ,312,11740,1, , 
"     125,000", ,1996,2021, 고덕동,아남1,2,20,84.91, ,486,11740,5, , 
"     189,000", ,2016,2021, 고덕동,래미안힐스테이트고덕,2,20,97.26, ,688,11740,13, , 
"     140,000", ,2019,2021, 고덕동,고덕그라시움,2,20,59.028, ,693,11740,4, , 
