거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"      31,000", ,2002,2021, 역삼동,대우디오빌,4,1,30.03, ,720-25,11680,7, , 
"     325,000", ,2007,2021, 역삼동,래미안펜타빌,4,1,157.37, ,713-7,11680,4, , 
"      89,900", ,2004,2021, 역삼동,우정에쉐르3,4,2,63.67, ,707-15,11680,7, , 
"      86,000", ,2006,2021, 역삼동,역삼I'PARK,4,3,28.246, ,713-11,11680,13, , 
"      43,000", ,2001,2021, 역삼동,한화진넥스빌,4,5,43.58, ,706-20,11680,20, , 
"     275,000", ,2016,2021, 역삼동,역삼자이,4,6,84.993, ,711-3,11680,6, , 
"     310,000", ,2007,2021, 역삼동,래미안펜타빌,4,8,136.28, ,713-7,11680,8, , 
"     193,000", ,2005,2021, 역삼동,e-편한세상,4,8,59.606, ,755-4,11680,5, , 
"      45,000", ,2002,2021, 역삼동,대우디오빌,4,9,36.96, ,720-25,11680,17, , 
"      74,500", ,2004,2021, 역삼동,역삼우정에쉐르2,4,9,49.38, ,707-18,11680,3, , 
"      38,000", ,1996,2021, 역삼동,한스빌(836),4,14,39.89, ,836,11680,4, , 
"      43,500", ,2004,2021, 역삼동,대우디오빌플러스,4,15,43.99, ,824-25,11680,12, , 
"      23,500", ,1999,2021, 역삼동,현대휴먼터치빌,4,16,25.92, ,606-18,11680,13, , 
"     259,000", ,2005,2021, 역삼동,e-편한세상,4,17,84.991, ,755-4,11680,10, , 
"     270,000", ,2014,2021, 역삼동,테헤란아이파크,4,17,92.6232, ,709-5,11680,19, , 
"      39,500", ,1996,2021, 역삼동,한스빌(836),4,18,39.89, ,836,11680,3, , 
"      22,000", ,2012,2021, 역삼동,요진와이시티미니,4,21,12.1, ,727-9,11680,1, , 
"      18,000", ,2012,2021, 역삼동,대명벨리온,4,23,17.684, ,727-2,11680,3, , 
"     139,000", ,2007,2021, 역삼동,쌍용플레티넘밸류,4,23,84.9, ,826-37,11680,12, , 
"      18,000", ,2003,2021, 역삼동,우림루미아트2,4,24,24, ,706-10,11680,5, , 
"     320,000", ,2006,2021, 역삼동,역삼I'PARK,4,27,144.431, ,713-11,11680,16, , 
"     310,000", ,2009,2021, 역삼동,래미안그레이튼,4,27,142.06, ,763-16,11680,9, , 
"      53,000", ,2002,2021, 역삼동,갤러리아트,4,29,53.65, ,783-28,11680,2, , 
"      18,000", ,2012,2021, 역삼동,요진와이시티미니,4,30,12.1, ,727-9,11680,7, , 
"     307,000", ,2006,2021, 역삼동,개나리래미안,4,30,129.8, ,754,11680,20, , 
"     235,000", ,2005,2021, 역삼동,역삼래미안,4,30,80.87, ,757,11680,9, , 
"     214,500", ,2019,2021, 개포동,래미안블레스티지,4,1,59.967, ,1280,11680,5, , 
"     266,000", ,2019,2021, 개포동,디에이치아너힐즈,4,4,84.357, ,138,11680,20, , 
"     127,000", ,1992,2021, 개포동,성원대치2단지아파트,4,9,39.53, ,12,11680,11, , 
"     325,000", ,1984,2021, 개포동,경남2차,4,12,182.2, ,649,11680,3, , 
"      74,800", ,2000,2021, 개포동,새롬(1164-13),4,12,59.67, ,1164-13,11680,6, , 
"     204,500", ,2019,2021, 개포동,래미안블레스티지,4,13,59.837, ,1280,11680,14, , 
"     323,000", ,1984,2021, 개포동,개포우성3차,4,13,161, ,652,11680,3, , 
"     268,000", ,2019,2021, 개포동,래미안블레스티지,4,14,84.94, ,1280,11680,25, , 
"     174,000", ,1988,2021, 개포동,개포2차현대아파트(220),4,15,77.75, ,655-2,11680,9, , 
"     168,000", ,1992,2021, 개포동,삼익대청아파트,4,15,60, ,12,11680,14, , 
"     325,000", ,1984,2021, 개포동,현대1차101동~106동,4,20,177.19, ,653,11680,12, , 
"     206,000", ,1983,2021, 개포동,개포주공7단지,4,21,53.46, ,185,11680,9, , 
"     259,000", ,2019,2021, 개포동,디에이치아너힐즈,4,23,76.1709, ,138,11680,6, , 
