거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"      79,000",중개거래,2003,2021, 수색동,e편한세상 수색 에코포레,12,4,59.895,서울 은평구,415-1,11380,7, , 
"      85,000",중개거래,2003,2021, 수색동,e편한세상 수색 에코포레,12,6,84.951,서울 은평구,415-1,11380,1, , 
"     103,000",중개거래,2021,2021, 수색동,DMC롯데캐슬더퍼스트,12,9,59.96,서울 은평구,417,11380,7, , 
"      90,000",직거래,2003,2021, 수색동,e편한세상 수색 에코포레,12,25,114.18, ,415-1,11380,14, , 
"     126,000",중개거래,2019,2021, 녹번동,힐스테이트녹번,12,5,84.898,서울 은평구,282,11380,8, , 
"     145,000",중개거래,2019,2021, 녹번동,힐스테이트녹번,12,7,84.898,"서울 서초구, 서울 은평구",282,11380,16, , 
"      85,000",중개거래,2001,2021, 녹번동,녹번2현대,12,9,84.94,서울 은평구,278-1,11380,11, , 
"     109,000",직거래,2019,2021, 녹번동,힐스테이트녹번,12,23,59.938, ,282,11380,13, , 
"     147,000",중개거래,2015,2021, 녹번동,북한산푸르지오,12,28,114.98,서울 은평구,281,11380,12, , 
"      65,900",직거래,2021,2021, 불광동,연신내역트리플라101동,12,4,36.61, ,484-63,11380,11, , 
"      95,000",중개거래,1988,2021, 불광동,라이프미성,12,5,84.65,서울 은평구,248,11380,3, , 
"      81,000",중개거래,2009,2021, 불광동,북한산힐스테이트1차아파트,12,9,59.817,서울 은평구,635,11380,8, , 
"      74,000",직거래,1988,2021, 불광동,라이프미성,12,12,125.75, ,248,11380,6, , 
"      81,000",직거래,1988,2021, 불광동,라이프미성,12,15,66.7, ,248,11380,13, , 
"      19,400",중개거래,2016,2021, 불광동,정익제이원5차,12,24,16.07,서울 은평구,486-14,11380,13, , 
"      22,500",직거래,2021,2021, 불광동,효민아크로뷰,12,30,15.09, ,484-73,11380,16, , 
"      40,500",직거래,2021,2021, 불광동,연신내역트리플라101동,12,31,22.67, ,484-63,11380,13, , 
"      50,500",중개거래,2017,2021, 갈현동,베로니스,12,10,52.1,경기 성남수정구,468-5,11380,6, , 
"      42,500",중개거래,2001,2021, 갈현동,갈현건영,12,11,59.99,서울 은평구,541-1,11380,1, , 
"      89,950",중개거래,2004,2021, 구산동,경남아너스빌,12,4,122.77,서울 은평구,224,11380,11, , 
"      52,500",중개거래,2009,2021, 구산동,구산그린빌,12,9,59.5,서울 은평구,226,11380,3, , 
"      68,000",중개거래,2004,2021, 구산동,갈현1단지e-편한세상,12,11,84.618,서울 은평구,547,11380,4, , 
"      43,700",직거래,2021,2021, 구산동,벨뷰아파트,12,18,48.84, ,321-28,11380,2, , 
"      48,100",직거래,2004,2021, 구산동,경남아너스빌,12,29,122.77, ,224,11380,16, , 
"      31,500",직거래,2021,2021, 대조동,대경아르체아파트,12,8,25.28, ,26-14,11380,8, , 
