거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"      47,000", ,1998,2021, 월계동,청백4,2,1,59.4, ,781,11350,5, , 
"      39,000", ,1993,2021, 월계동,주공2,2,2,44.94, ,556,11350,3, , 
"      58,300", ,1992,2021, 월계동,주공2,2,2,58.65, ,556,11350,7, , 
"      84,000", ,1986,2021, 월계동,삼호3,2,2,59.22, ,13,11350,9, , 
"      58,300", ,1992,2021, 월계동,주공2,2,2,58.65, ,556,11350,7,21.02.22,O
"      67,800", ,2000,2021, 월계동,현대,2,3,59.95, ,929,11350,1, , 
"      68,000", ,1985,2021, 월계동,삼창,2,3,94.36, ,448-3,11350,6, , 
"      30,000", ,1998,2021, 월계동,청백3,2,3,39.84, ,780,11350,3, , 
"     128,000", ,2002,2021, 월계동,한진한화그랑빌,2,3,139.08, ,18,11350,14, , 
"     106,500", ,2002,2021, 월계동,한진한화그랑빌,2,3,114.97, ,18,11350,8, , 
"      60,000", ,2005,2021, 월계동,동원베네스트,2,3,59.854, ,940,11350,5, , 
"      55,500", ,1992,2021, 월계동,주공2,2,4,58.65, ,556,11350,2, , 
"      57,300", ,1992,2021, 월계동,주공2,2,4,59.97, ,556,11350,12, , 
"      64,500", ,1986,2021, 월계동,미륭,2,4,51.48, ,13,11350,2, , 
"      74,500", ,2000,2021, 월계동,현대,2,5,59.95, ,929,11350,15, , 
"      68,000", ,2005,2021, 월계동,월계역신도브래뉴,2,5,117.1038, ,942,11350,1, , 
"      46,500", ,1998,2021, 월계동,청백4,2,5,59.4, ,781,11350,3, , 
"      66,800", ,2005,2021, 월계동,동원베네스트,2,5,84.607, ,940,11350,4, , 
"     102,000", ,2002,2021, 월계동,한진한화그랑빌,2,6,84.97, ,18,11350,14, , 
"      48,000", ,1998,2021, 월계동,청백4,2,6,59.4, ,781,11350,9, , 
"      41,000", ,1992,2021, 월계동,주공2,2,8,44.52, ,556,11350,13, , 
"      38,500", ,1997,2021, 월계동,초안2,2,8,49.6, ,924,11350,4, , 
"      94,700", ,2016,2021, 월계동,꿈의숲SKVIEW,2,9,84.93, ,949,11350,5, , 
"      47,500", ,1998,2021, 월계동,청백4,2,9,59.4, ,781,11350,12, , 
"      64,500", ,1987,2021, 월계동,삼호4,2,10,50.18, ,12,11350,1, , 
"      40,000", ,1993,2021, 월계동,주공2,2,15,44.94, ,556,11350,8, , 
"      39,400", ,1998,2021, 월계동,초안1,2,15,59.85, ,923,11350,9, , 
"      28,500", ,1998,2021, 월계동,청백3,2,16,39.84, ,780,11350,1, , 
"     116,000", ,2002,2021, 월계동,한진한화그랑빌,2,17,139.08, ,18,11350,5, , 
"      63,500", ,2006,2021, 월계동,초안산쌍용스윗닷홈,2,19,59.92, ,945,11350,6, , 
"      64,000", ,1999,2021, 월계동,한일1,2,20,59.953, ,926,11350,18, , 
"      90,000", ,2016,2021, 월계동,꿈의숲SKVIEW,2,20,84.95, ,949,11350,2, , 
"     115,000", ,2020,2021, 월계동,월계센트럴아이파크,2,20,84.99, ,951,11350,7, , 
