거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"     149,000", ,2005,2021, 방배동,방배CJ나인빌1차,3,1,145.76, ,889-5,11650,1, , 
"     213,000", ,1981,2021, 방배동,신동아,3,2,105.86, ,988-1,11650,15, , 
"     300,000", ,2006,2021, 방배동,방배3차e-편한세상,3,2,198.5315, ,797-30,11650,5, , 
"     132,250", ,2003,2021, 방배동,삼성래미안1,3,2,59.9, ,2626,11650,1, , 
"     210,000", ,2003,2021, 방배동,방배자이,3,2,164.96, ,888-53,11650,9, , 
"     265,000", ,2015,2021, 방배동,르가든6차,3,5,181.08, ,798-10,11650,2, , 
"     183,000", ,2010,2021, 방배동,서리풀e편한세상,3,5,59.94, ,906-13,11650,4, , 
"     172,000", ,2019,2021, 방배동,방배 서리풀 그랑블,3,6,84.9969, ,3279,11650,5, , 
"      40,500", ,2005,2021, 방배동,방배대우디오빌,3,6,36.63, ,866-20,11650,7, , 
"     152,000", ,2005,2021, 방배동,방배아트e-편한세상102,3,6,74.87, ,484-5,11650,5, , 
"     216,500", ,2013,2021, 방배동,롯데캐슬아르떼,3,6,84.9145, ,424-28,11650,9, , 
"     149,900", ,2006,2021, 방배동,SK리더스뷰(파스텔시티),3,6,84.8, ,444-3,11650,13, , 
"     189,800", ,2005,2021, 방배동,브라운스톤방배,3,6,84.96, ,899-16,11650,13, , 
"     135,500", ,2003,2021, 방배동,방배승원아트빌,3,9,137.25, ,970-13,11650,2, , 
"     168,000", ,2010,2021, 방배동,리첸시아방배,3,9,150.03, ,755-14,11650,6, , 
"     310,000", ,2005,2021, 방배동,빌라일두오모,3,9,199.83, ,800-1,11650,5, , 
"     228,000", ,2018,2021, 방배동,방배아트자이,3,10,84.9152, ,3278,11650,10, , 
"     230,000", ,2010,2021, 방배동,서리풀e편한세상,3,10,84.97, ,906-13,11650,7, , 
"     172,000", ,2018,2021, 방배동,방배아트자이,3,11,59.9775, ,3278,11650,9, , 
"      80,000", ,2019,2021, 방배동,방배마에스트로,3,12,35.53, ,866-10,11650,13, , 
"     216,000", ,2013,2021, 방배동,롯데캐슬아르떼,3,13,84.9145, ,424-28,11650,15,21.06.14,O
"     325,000", ,2006,2021, 방배동,방배롯데캐슬OSCAR,3,17,270.6, ,1-21,11650,1, , 
"     170,000", ,2019,2021, 방배동,방배 서리풀 그랑블,3,17,84.9969, ,3279,11650,4, , 
"     180,500", ,1996,2021, 방배동,신구하이텍빌리지,3,17,204.69, ,865-24,11650,2, , 
"     229,000", ,1983,2021, 방배동,방배신삼호,3,19,105.04, ,725,11650,8, , 
"     286,000", ,2010,2021, 방배동,서리풀e편한세상,3,19,121.48, ,906-13,11650,7, , 
"     171,000", ,2018,2021, 방배동,방배아트자이,3,20,59.9938, ,3278,11650,6, , 
"     250,000", ,2013,2021, 방배동,롯데캐슬아르떼,3,20,147.7221, ,424-28,11650,2, , 
"     205,000", ,2004,2021, 방배동,래미안방배아트힐(1008-2),3,20,127.61, ,1008-2,11650,12, , 
"     280,000", ,1983,2021, 방배동,방배신삼호,3,20,164.97, ,725,11650,11, , 
"      42,000", ,2005,2021, 방배동,방배대우디오빌,3,20,37.67, ,866-20,11650,4, , 
"      42,000", ,2005,2021, 방배동,방배대우디오빌,3,20,37.67, ,866-20,11650,4,21.04.08,O
"     182,500", ,2006,2021, 방배동,롯데캐슬헤론,3,22,174.89, ,754-1,11650,3, , 
"     198,000", ,2006,2021, 방배동,롯데캐슬헤론,3,23,168.81, ,754-1,11650,23, , 
"     312,500", ,2004,2021, 방배동,부에나비스타,3,24,244.89, ,1-57,11650,6, , 
"     249,000", ,2003,2021, 방배동,대림e-편한세상1,3,24,164.38, ,884-21,11650,10, , 
"      33,000", ,2005,2021, 방배동,방배대우디오빌,3,27,29.6, ,866-20,11650,21, , 
"     288,000", ,2002,2021, 방배동,방배대우유로카운티,3,28,202.4, ,847-34,11650,4, , 
"     178,000", ,2010,2021, 방배동,서리풀e편한세상,3,29,59.97, ,906-13,11650,8, , 
"     285,000", ,2012,2021, 방배동,UPPERHOUSE,3,29,233.44, ,12-1,11650,3, , 
"     136,700", ,2006,2021, 방배동,디오수페리움2,3,29,84.94, ,3001-1,11650,7, , 
"      70,000", ,2004,2021, 방배동,한신트리플,3,30,61.16, ,816-1,11650,6, , 
"     205,000", ,2013,2021, 방배동,롯데캐슬아르떼,3,31,84.974, ,424-28,11650,16, , 
"     130,000", ,2004,2021, 양재동,해청파인빌,3,3,129.4, ,19-1,11650,2, , 
"      69,500", ,2013,2021, 우면동,엘에이치서초4단지,3,2,59.93, ,788,11650,8,22.02.11,O
"      67,400", ,2013,2021, 우면동,엘에이치서초4단지,3,3,59.93, ,788,11650,3,22.02.11,O
"     115,500", ,1995,2021, 우면동,동고,3,3,84.96, ,59,11650,2, , 
"      70,700", ,2013,2021, 우면동,엘에이치서초4단지,3,3,59.93, ,788,11650,12,22.02.11,O
"      57,600", ,2013,2021, 우면동,엘에이치서초4단지,3,3,51.89, ,788,11650,11,22.02.11,O
"      61,000", ,2014,2021, 우면동,서초리슈빌S,3,3,44.4883, ,764,11650,6, , 
"      55,800", ,2013,2021, 우면동,엘에이치서초4단지,3,5,51.89, ,788,11650,3,22.02.11,O
"      58,100", ,2013,2021, 우면동,엘에이치서초4단지,3,5,51.89, ,788,11650,20,22.02.11,O
"      56,550", ,2013,2021, 우면동,엘에이치서초4단지,3,5,51.89, ,788,11650,9,22.02.11,O
"     115,000", ,2013,2021, 우면동,엘에이치서초4단지,3,8,59.93, ,788,11650,3,21.08.13,O
"     115,000", ,2013,2021, 우면동,엘에이치서초4단지,3,8,59.93, ,788,11650,3, , 
"      57,100", ,2013,2021, 우면동,엘에이치서초4단지,3,8,51.89, ,788,11650,5, , 
"      66,500", ,2013,2021, 우면동,엘에이치서초4단지,3,8,59.93, ,788,11650,2,22.02.11,O
"     160,000", ,2013,2021, 우면동,서초네이처힐3단지,3,8,84.84, ,717,11650,13, , 
"      71,000", ,2013,2021, 우면동,엘에이치서초4단지,3,9,59.93, ,788,11650,21,22.02.11,O
"      56,550", ,2013,2021, 우면동,엘에이치서초4단지,3,9,51.89, ,788,11650,8,22.02.11,O
"      71,000", ,2013,2021, 우면동,엘에이치서초4단지,3,10,59.93, ,788,11650,20,22.02.11,O
"     109,250", ,2013,2021, 우면동,엘에이치서초4단지,3,10,51.89, ,788,11650,20, , 
"      58,350", ,2013,2021, 우면동,엘에이치서초4단지,3,10,51.89, ,788,11650,11,22.02.11,O
"      58,100", ,2013,2021, 우면동,엘에이치서초4단지,3,10,51.89, ,788,11650,10,22.02.11,O
"     123,000", ,2013,2021, 우면동,엘에이치서초4단지,3,10,59.93, ,788,11650,8, , 
"      71,000", ,2013,2021, 우면동,엘에이치서초4단지,3,12,59.93, ,788,11650,15,22.02.11,O
"      70,100", ,2013,2021, 우면동,엘에이치서초4단지,3,12,59.93, ,788,11650,7,22.02.11,O
"      71,000", ,2013,2021, 우면동,엘에이치서초4단지,3,12,59.93, ,788,11650,23,22.02.11,O
"      67,400", ,2013,2021, 우면동,엘에이치서초4단지,3,15,59.93, ,788,11650,3,22.02.11,O
"      71,000", ,2013,2021, 우면동,엘에이치서초4단지,3,15,59.93, ,788,11650,22,22.02.11,O
"      57,600", ,2013,2021, 우면동,엘에이치서초4단지,3,16,51.89, ,788,11650,8,22.02.11,O
"      57,100", ,2013,2021, 우면동,엘에이치서초4단지,3,16,51.89, ,788,11650,10,22.02.11,O
"      71,000", ,2013,2021, 우면동,엘에이치서초4단지,3,17,59.93, ,788,11650,18,22.02.11,O
"      71,000", ,2013,2021, 우면동,엘에이치서초4단지,3,17,59.93, ,788,11650,14,22.02.11,O
"      71,000", ,2013,2021, 우면동,엘에이치서초4단지,3,19,59.93, ,788,11650,16,22.02.11,O
"     126,000", ,2013,2021, 우면동,엘에이치서초4단지,3,20,59.93, ,788,11650,14, , 
"      56,300", ,2013,2021, 우면동,엘에이치서초4단지,3,23,51.89, ,788,11650,8,22.02.11,O
"      57,600", ,2013,2021, 우면동,엘에이치서초4단지,3,23,51.89, ,788,11650,7,22.02.11,O
"     100,000", ,1994,2021, 우면동,코오롱,3,27,52.47, ,70,11650,3, , 
"      71,000", ,2013,2021, 우면동,엘에이치서초4단지,3,30,59.93, ,788,11650,18,22.02.11,O
"     215,000", ,2003,2021, 잠원동,브라운스톤잠원,3,2,84.94, ,67-2,11650,7, , 
"     237,000", ,1982,2021, 잠원동,신반포19,3,3,107.93, ,61-2,11650,5, , 
"     232,500", ,2020,2021, 잠원동,반포센트럴자이,3,6,59.98, ,162,11650,13, , 
"     193,000", ,1981,2021, 잠원동,신반포8,3,6,55.17, ,60-3,11650,1, , 
"     275,000", ,2018,2021, 잠원동,신반포자이,3,9,84.97, ,160,11650,20, , 
"     249,000", ,1981,2021, 잠원동,신반포11,3,13,76.4, ,58-24,11650,4, , 
"     238,000", ,2002,2021, 잠원동,동아,3,15,84.91, ,157,11650,19, , 
"     182,000", ,1989,2021, 잠원동,한신타운,3,17,78.39, ,60-4,11650,10, , 
