거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"      71,000", ,2007,2020, 신설동,청계천대성스카이렉스1,5,12,84.78, ,109-13,11230,8, , 
"      75,000", ,1998,2020, 용두동,두산베어스타워,5,9,166.34, ,138-41,11230,21,20.08.07,O
"      86,500", ,2009,2020, 용두동,용두두산위브,5,10,84.99, ,791,11230,3, , 
"      94,000", ,2009,2020, 용두동,용두두산위브,5,14,84.99, ,791,11230,13, , 
"     106,000", ,2011,2020, 용두동,래미안 허브리츠,5,16,84.97, ,792,11230,14, , 
"      38,000", ,2016,2020, 용두동,동대문푸르지오시티(도시형생활주택),5,16,30.11, ,104-3,11230,17, , 
"      69,000", ,2007,2020, 용두동,청계천대성스카이렉스2,5,18,84.99, ,255-66,11230,9, , 
"      38,500", ,2016,2020, 용두동,동대문푸르지오시티(도시형생활주택),5,18,30.11, ,104-3,11230,17, , 
"      63,000", ,2010,2020, 용두동,리채,5,25,101.57, ,29-1,11230,4, , 
"      64,000", ,2004,2020, 용두동,신설동역대우아이빌1,5,29,84.967, ,236-1,11230,14, , 
"      36,500", ,2016,2020, 용두동,동대문푸르지오시티(도시형생활주택),5,30,30.11, ,104-3,11230,5, , 
"      68,500", ,2007,2020, 용두동,청계천대성스카이렉스2,5,30,84.99, ,255-66,11230,5, , 
"      75,000", ,2005,2020, 제기동,이수브라운스톤,5,8,84.9, ,252,11230,4, , 
"      17,000", ,2014,2020, 제기동,어진재,5,8,15.61, ,1213,11230,5, , 
"      72,000", ,2004,2020, 제기동,한신아파트,5,13,84.76, ,1212,11230,3, , 
"      17,000", ,2014,2020, 제기동,어진재,5,22,16.72, ,1213,11230,4, , 
"      83,000", ,1999,2020, 제기동,현대,5,29,90.95, ,892-66,11230,3, , 
"      55,000", ,1971,2020, 제기동,홍파,5,30,61.72, ,120-10,11230,3, , 
"      65,400", ,1992,2020, 전농동,전농우성,5,1,115.56, ,6,11230,9, , 
"     125,000", ,2014,2020, 전농동,래미안크레시티,5,7,84.97, ,690,11230,20, , 
"     139,500", ,2014,2020, 전농동,래미안크레시티,5,8,121.98, ,690,11230,17, , 
"      75,800", ,2000,2020, 전농동,전농SK,5,9,84.95, ,10,11230,11, , 
"      62,500", ,2000,2020, 전농동,전농SK,5,9,59.34, ,10,11230,12, , 
"      95,000", ,2012,2020, 전농동,래미안아름숲,5,10,84.92, ,688,11230,6, , 
"      72,000", ,2000,2020, 전농동,전농SK,5,12,84.95, ,10,11230,4, , 
"      74,000", ,2000,2020, 전농동,전농SK,5,12,84.95, ,10,11230,7, , 
"      69,000", ,1992,2020, 전농동,전농우성,5,12,126.63, ,6,11230,13, , 
"      60,000", ,2000,2020, 전농동,전농SK,5,13,59.34, ,10,11230,19, , 
"      59,800", ,2007,2020, 전농동,전농동하우스토리,5,13,83.115, ,32-4,11230,14, , 
"     121,000", ,2014,2020, 전농동,래미안크레시티,5,14,84.96, ,690,11230,9, , 
"      65,900", ,1992,2020, 전농동,전농우성,5,17,115.56, ,6,11230,5, , 
"      57,800", ,1992,2020, 전농동,전농우성,5,18,84.84, ,6,11230,4, , 
"      60,000", ,2000,2020, 전농동,전농SK,5,18,59.34, ,10,11230,8, , 
"      76,000", ,2000,2020, 전농동,전농동삼성래미안,5,19,84.98, ,155,11230,18, , 
"      68,000", ,1997,2020, 전농동,동아,5,19,57.9, ,645-2,11230,10, , 
"      95,000", ,2012,2020, 전농동,래미안아름숲,5,19,84.91, ,688,11230,3, , 
"      50,800", ,1992,2020, 전농동,전농우성,5,21,59.78, ,6,11230,9, , 
"      50,800", ,1992,2020, 전농동,전농우성,5,22,59.78, ,6,11230,12, , 
"     104,500", ,2012,2020, 전농동,래미안아름숲,5,22,114.9, ,688,11230,3, , 
"      99,000", ,2014,2020, 전농동,래미안크레시티,5,23,59.99, ,690,11230,7,20.08.31,O
"      99,000", ,2014,2020, 전농동,래미안크레시티,5,23,59.99, ,690,11230,7, , 
"      59,500", ,2000,2020, 전농동,전농동삼성래미안,5,23,59.93, ,155,11230,12, , 
"      38,700", ,1992,2020, 전농동,전농우성,5,25,44.24, ,6,11230,9, , 
"      70,000", ,1992,2020, 전농동,전농우성,5,25,126.63, ,6,11230,9, , 
"     111,000", ,2012,2020, 전농동,래미안아름숲,5,26,114.92, ,688,11230,10, , 
"      77,500", ,2000,2020, 전농동,전농SK,5,26,84.95, ,10,11230,12, , 
"      37,000", ,1992,2020, 전농동,전농우성,5,26,44.24, ,6,11230,2, , 
"      85,000", ,1997,2020, 전농동,동아,5,27,114.81, ,645-2,11230,5, , 
"      48,600", ,1992,2020, 전농동,전농우성,5,27,59.78, ,6,11230,2, , 
"      82,000", ,2000,2020, 전농동,전농동삼성래미안,5,27,114.89, ,155,11230,10, , 
"     100,500", ,2014,2020, 전농동,래미안크레시티,5,30,59.99, ,690,11230,3, , 
"      68,900", ,1992,2020, 전농동,전농우성,5,30,115.56, ,6,11230,10, , 
"      72,200", ,2000,2020, 전농동,전농SK,5,30,84.84, ,10,11230,1,20.06.11,O
"      72,200", ,2000,2020, 전농동,전농SK,5,30,84.84, ,10,11230,1, , 
"      14,000", ,2016,2020, 답십리동,현대썬앤빌청계,5,2,14.72, ,530-15,11230,5, , 
"      85,500", ,2018,2020, 답십리동,힐스테이트청계,5,2,48.98, ,1009,11230,9, , 
"      49,500", ,1989,2020, 답십리동,동서울한양,5,4,59.67, ,41,11230,5, , 
"     109,000", ,2014,2020, 답십리동,래미안위브,5,4,84.98, ,1003,11230,3, , 
"     106,500", ,2014,2020, 답십리동,래미안위브,5,4,84.99, ,1003,11230,3, , 
"      59,700", ,1991,2020, 답십리동,신답경남,5,5,59.24, ,645-8,11230,9, , 
"     107,000", ,2014,2020, 답십리동,래미안위브,5,6,84.99, ,1003,11230,4, , 
"      77,500", ,2007,2020, 답십리동,두산위브,5,6,59.91, ,998,11230,7, , 
"      65,000", ,2000,2020, 답십리동,두산,5,7,84.83, ,990,11230,12, , 
"      78,000", ,2000,2020, 답십리동,답십리청솔우성,5,7,114.76, ,80,11230,5, , 
"      66,500", ,2000,2020, 답십리동,청솔2차우성,5,7,82.49, ,80-2,11230,6, , 
"      60,000", ,2005,2020, 답십리동,세양청마루,5,9,84.98, ,997,11230,3, , 
"      68,000", ,2000,2020, 답십리동,두산,5,9,84.83, ,990,11230,6, , 
"      33,600", ,2015,2020, 답십리동,청계푸르지오시티,5,9,30.42, ,497-23,11230,18, , 
"      61,900", ,2011,2020, 답십리동,래미안엘파인아파트,5,9,59.95, ,1000,11230,1, , 
"      71,500", ,2000,2020, 답십리동,답십리청솔우성,5,9,84.94, ,80,11230,17, , 
"      86,900", ,2007,2020, 답십리동,두산위브,5,10,84.91, ,998,11230,20, , 
"      22,000", ,2019,2020, 답십리동,보광타워,5,11,22.96, ,530-4,11230,14, , 
"      13,000", ,2019,2020, 답십리동,보광타워,5,12,14.69, ,530-4,11230,8, , 
"      40,000", ,1989,2020, 답십리동,동서울한양,5,13,59.67, ,41,11230,1, , 
"      40,000", ,1989,2020, 답십리동,동서울한양,5,13,59.67, ,41,11230,1,20.07.24,O
"      74,800", ,2000,2020, 답십리동,답십리청솔우성,5,13,84.94, ,80,11230,10, , 
"     113,990", ,2019,2020, 답십리동,래미안미드카운티,5,13,84.99, ,1013,11230,6, , 
"      56,800", ,1989,2020, 답십리동,동서울한양,5,13,76.41, ,41,11230,8,20.06.08,O
"      16,450", ,2016,2020, 답십리동,현대썬앤빌청계,5,15,18.27, ,530-15,11230,9, , 
"      60,000", ,2000,2020, 답십리동,답십리청솔우성,5,16,59.89, ,80,11230,5, , 
"      80,000", ,2000,2020, 답십리동,답십리청솔우성,5,16,114.76, ,80,11230,16, , 
"      29,900", ,1992,2020, 답십리동,동답한신,5,16,35.45, ,42,11230,9, , 
"      52,500", ,2000,2020, 답십리동,두산,5,16,59.96, ,990,11230,1, , 
"     105,000", ,2019,2020, 답십리동,래미안미드카운티,5,16,84.99, ,1013,11230,4, , 
"      64,000", ,2003,2020, 답십리동,대림,5,18,84.66, ,808,11230,17, , 
"     111,500", ,2014,2020, 답십리동,래미안위브,5,20,84.98, ,1003,11230,21, , 
"     129,000", ,2014,2020, 답십리동,래미안위브,5,21,121.94, ,1003,11230,4, , 
"      59,000", ,1989,2020, 답십리동,동서울한양,5,22,76.41, ,41,11230,9, , 
"      55,800", ,1989,2020, 답십리동,동서울한양,5,23,76.41, ,41,11230,15, , 
"      85,500", ,2018,2020, 답십리동,힐스테이트청계,5,23,48.98, ,1009,11230,22, , 
"      73,000", ,2000,2020, 답십리동,두산,5,24,84.83, ,990,11230,20, , 
"      87,000", ,2010,2020, 답십리동,청계한신휴플러스,5,24,59.74, ,1002,11230,5, , 
"      15,800", ,2015,2020, 답십리동,청계푸르지오시티,5,24,18.92, ,497-23,11230,17, , 
"      62,000", ,2001,2020, 답십리동,답십리한화,5,27,84.86, ,994,11230,14, , 
"      29,800", ,1992,2020, 답십리동,동답한신,5,27,35.45, ,42,11230,1, , 
"     107,000", ,2014,2020, 답십리동,래미안위브,5,29,84.99, ,1003,11230,7, , 
"      59,300", ,2003,2020, 답십리동,대림,5,30,59.65, ,808,11230,11, , 
"      95,000", ,2014,2020, 답십리동,래미안위브,5,30,59.97, ,1003,11230,14, , 
"     110,000", ,2014,2020, 답십리동,래미안위브,5,30,84.98, ,1003,11230,13, , 
"      48,700", ,1989,2020, 답십리동,동서울한양,5,30,59.67, ,41,11230,8, , 
"      58,700", ,2000,2020, 답십리동,답십리청솔우성,5,31,59.74, ,80,11230,15, , 
"      80,500", ,2007,2020, 장안동,래미안장안2차,5,1,81.05, ,329-3,11230,19, , 
"      50,000", ,2009,2020, 장안동,은하수드림빌,5,1,112.7904, ,579,11230,9, , 
"      12,700", ,2013,2020, 장안동,장안푸르미에,5,2,12.6512, ,466-5,11230,9, , 
"      47,000", ,2009,2020, 장안동,은하수드림빌,5,2,84.4344, ,579,11230,4, , 
"      77,300", ,2003,2020, 장안동,장안현대홈타운(336),5,4,84.87, ,336,11230,13, , 
"      27,300", ,2016,2020, 장안동,가우디트윈캐슬1,5,4,41.26, ,374-9,11230,14, , 
"      52,000", ,2002,2020, 장안동,장안삼성쉐르빌,5,4,119.78, ,371-1,11230,10, , 
"      44,500", ,2003,2020, 장안동,공감대(440-12),5,5,100.21, ,440-12,11230,2, , 
"      32,000", ,2015,2020, 장안동,태솔에버빌3차,5,5,57.65, ,383-11,11230,8, , 
"      96,000", ,2003,2020, 장안동,장안현대홈타운(336),5,5,133.72, ,336,11230,17, , 
"      66,600", ,2007,2020, 장안동,장안힐스테이트,5,5,59.885, ,329-2,11230,2, , 
"      55,900", ,2011,2020, 장안동,장안위더스빌,5,6,84.85, ,580,11230,15, , 
"      41,700", ,2008,2020, 장안동,상록파라브2차,5,6,75.29, ,440-2,11230,2, , 
"      68,000", ,2006,2020, 장안동,현대홈타운3차,5,6,84.29, ,571,11230,9, , 
"      28,000", ,2015,2020, 장안동,청솔아파트B동,5,7,53.79, ,372-16,11230,10, , 
"      69,000", ,2003,2020, 장안동,래미안장안,5,8,59.86, ,354-2,11230,10, , 
"      32,900", ,2008,2020, 장안동,리치,5,8,64.96, ,385-2,11230,4, , 
"      55,000", ,1996,2020, 장안동,한신아파트,5,9,84.83, ,555-1,11230,15, , 
"      28,600", ,2016,2020, 장안동,가우디트윈캐슬2,5,9,41.26, ,374-8,11230,9, , 
"      40,500", ,2019,2020, 장안동,태솔아파트4차,5,9,54.53, ,335-10,11230,13, , 
"      48,500", ,2013,2020, 장안동,서희스타힐스,5,9,80.53, ,365-4,11230,15, , 
"      40,300", ,2019,2020, 장안동,태솔아파트4차,5,10,54.53, ,335-10,11230,12, , 
"      42,500", ,2005,2020, 장안동,우성2차(334-6),5,11,71.35, ,334-6,11230,2, , 
"      15,800", ,2010,2020, 장안동,대성장안애캐슬,5,11,34.04, ,346-9,11230,8, , 
"      44,000", ,2005,2020, 장안동,형인허브빌2차(566),5,11,84.19, ,566,11230,4, , 
"      42,850", ,2009,2020, 장안동,흥해오크팰리스(440-5),5,12,76.68, ,440-5,11230,10, , 
"      79,700", ,2003,2020, 장안동,장안현대홈타운(336),5,13,84.87, ,336,11230,13, , 
"      35,000", ,2003,2020, 장안동,성림(390-5),5,13,74.43, ,390-5,11230,5, , 
"      55,000", ,2002,2020, 장안동,장안삼성쉐르빌,5,13,119.05, ,371-1,11230,11, , 
"       9,500", ,2012,2020, 장안동,장안뉴시티,5,13,17.53, ,372-5,11230,9, , 
"      90,000", ,2007,2020, 장안동,래미안장안2차,5,14,112.92, ,329-3,11230,17, , 
"      52,400", ,2003,2020, 장안동,장안SM드림빌(360-2),5,14,115.5, ,360-2,11230,3, , 
"      51,500", ,2012,2020, 장안동,홍해오크펠리스3차,5,15,77.6, ,582,11230,7, , 
"      42,500", ,2009,2020, 장안동,한강훼미리,5,15,83.43, ,381-3,11230,8,20.06.24,O
"      42,500", ,2009,2020, 장안동,한강훼미리,5,15,83.43, ,381-3,11230,8, , 
"      43,000", ,2007,2020, 장안동,상록파라브,5,15,77.29, ,440-1,11230,2, , 
"      56,500", ,2002,2020, 장안동,장안삼성쉐르빌,5,16,99.51, ,371-1,11230,21, , 
"      55,000", ,2005,2020, 장안동,우성3차(562),5,16,84.26, ,562,11230,9, , 
"      52,000", ,1996,2020, 장안동,한신아파트,5,16,84.9, ,555-1,11230,5, , 
"      30,000", ,2005,2020, 장안동,동재(A동),5,17,59.55, ,241-13,11230,7, , 
"      39,000", ,2005,2020, 장안동,동재(A동),5,17,107.76, ,241-13,11230,5, , 
"      76,200", ,2007,2020, 장안동,래미안장안2차,5,18,81.05, ,329-3,11230,8, , 
"      55,000", ,2002,2020, 장안동,장안삼성쉐르빌,5,18,119.05, ,371-1,11230,7, , 
"      26,500", ,2019,2020, 장안동,글로벌팰리스,5,18,27.08, ,415-10,11230,9, , 
"      43,000", ,2005,2020, 장안동,삼성그린,5,19,96.94, ,326-10,11230,3, , 
"      41,500", ,2019,2020, 장안동,태솔아파트4차,5,19,53.19, ,335-10,11230,10, , 
"      48,000", ,2002,2020, 장안동,가야써니빌(373-7),5,20,114.69, ,373-7,11230,8, , 
"      34,800", ,2013,2020, 장안동,서희스타힐스,5,21,51.07, ,365-4,11230,15, , 
"      62,000", ,2006,2020, 장안동,장한평월드메르디앙,5,21,84.95, ,573,11230,11, , 
"      65,000", ,2003,2020, 장안동,장안현대홈타운(336),5,23,58.42, ,336,11230,9, , 
"      71,000", ,2007,2020, 장안동,장안힐스테이트,5,23,59.928, ,329-2,11230,16, , 
"      73,000", ,2007,2020, 장안동,장안힐스테이트,5,23,59.885, ,329-2,11230,15, , 
"      71,000", ,2007,2020, 장안동,장안힐스테이트,5,23,59.928, ,329-2,11230,16,20.06.01,O
"      53,000", ,2005,2020, 장안동,대명이룸(565-0),5,25,82.85, ,565,11230,9, , 
"      54,300", ,2008,2020, 장안동,서광아침의빛,5,25,84.98, ,577,11230,5, , 
"      11,000", ,2014,2020, 장안동,양우내안애애플,5,26,15.3388, ,373-1,11230,2, , 
"      11,000", ,2014,2020, 장안동,양우내안애애플,5,26,15.3388, ,373-1,11230,2, , 
"      54,000", ,1996,2020, 장안동,한신아파트,5,28,84.9, ,555-1,11230,14, , 
"      76,380", ,2007,2020, 장안동,래미안장안2차,5,28,81.05, ,329-3,11230,25, , 
"      54,400", ,2004,2020, 장안동,공감대5차(334-5),5,28,149.64, ,334-5,11230,4, , 
"      53,700", ,1996,2020, 장안동,한신아파트,5,28,84.9, ,555-1,11230,17, , 
"      57,500", ,2007,2020, 장안동,장안평월드메르디앙2차,5,29,84.94, ,575,11230,2, , 
"      69,700", ,2003,2020, 장안동,장안현대홈타운(336),5,29,59.54, ,336,11230,25, , 
"      76,500", ,2007,2020, 장안동,래미안장안2차,5,29,81.05, ,329-3,11230,3, , 
"      79,600", ,2007,2020, 장안동,래미안장안2차,5,30,81.05, ,329-3,11230,21, , 
"      66,000", ,2006,2020, 장안동,현대홈타운3차,5,30,84.3, ,571,11230,3, , 
"      79,600", ,2007,2020, 장안동,래미안장안2차,5,30,81.05, ,329-3,11230,21,20.06.22,O
"      68,500", ,2003,2020, 장안동,장안현대홈타운(336),5,30,59.54, ,336,11230,17, , 
"      44,800", ,2004,2020, 장안동,SM해그린(362-7),5,30,79.7, ,362-7,11230,7, , 
"      57,500", ,2002,2020, 장안동,장안삼성쉐르빌,5,30,99.51, ,371-1,11230,29, , 
"      51,000", ,2010,2020, 장안동,상록파라브3차,5,30,84.37, ,440-3,11230,7, , 
"      92,000", ,2003,2020, 장안동,장안현대홈타운(336),5,31,112.78, ,336,11230,26, , 
"      77,700", ,2003,2020, 장안동,장안현대홈타운(336),5,31,84.87, ,336,11230,18, , 
"      77,000", ,2007,2020, 장안동,래미안장안2차,5,31,81.05, ,329-3,11230,9, , 
"      50,500", ,2004,2020, 장안동,정은스카이빌101동,5,31,80.37, ,327,11230,6, , 
"      60,200", ,2004,2020, 청량리동,상그레빌,5,4,80.16, ,949,11230,12, , 
"      98,600", ,1978,2020, 청량리동,미주,5,8,102.15, ,235-1,11230,2, , 
"      90,300", ,1978,2020, 청량리동,미주,5,12,86.78, ,235-1,11230,14, , 
"      95,000", ,1978,2020, 청량리동,미주,5,16,86.74, ,235-1,11230,4, , 
"      92,000", ,1978,2020, 청량리동,미주,5,26,86.78, ,235-1,11230,8, , 
"      82,000", ,1997,2020, 청량리동,한신,5,30,114.95, ,60,11230,5, , 
"      65,300", ,1989,2020, 회기동,신현대,5,18,72.27, ,65,11230,6, , 
"      69,000", ,1989,2020, 회기동,신현대,5,22,84.96, ,65,11230,5, , 
"      64,500", ,1989,2020, 회기동,신현대,5,23,72.27, ,65,11230,5, , 
"      58,500", ,1989,2020, 회기동,신현대,5,25,60.48, ,65,11230,14, , 
"      25,750", ,2013,2020, 회기동,베라체캠퍼스,5,29,24.011, ,346-18,11230,7, , 
"      52,000", ,2001,2020, 휘경동,주공2,5,1,59.79, ,57,11230,21,20.09.24,O
"      52,000", ,2001,2020, 휘경동,주공2,5,1,59.79, ,57,11230,21, , 
"      36,700", ,2001,2020, 휘경동,주공2,5,3,39.98, ,57,11230,16, , 
"      59,800", ,2000,2020, 휘경동,휘경베스트빌현대,5,4,84.99, ,52,11230,5, , 
"      59,800", ,2000,2020, 휘경동,휘경베스트빌현대,5,4,84.99, ,52,11230,5,20.07.09,O
"      38,000", ,2001,2020, 휘경동,주공2,5,5,39.98, ,57,11230,10, , 
"      67,700", ,2001,2020, 휘경동,주공1,5,5,84.84, ,57,11230,8,20.09.08,O
"      67,700", ,2001,2020, 휘경동,주공1,5,5,84.84, ,57,11230,8, , 
"      22,100", ,2020,2020, 휘경동,캠퍼스드림오피스텔,5,7,16.04, ,336-32,11230,13,20.05.08,O
"      67,700", ,2000,2020, 휘경동,휘경베스트빌현대,5,9,114.88, ,52,11230,15, , 
"      84,500", ,2019,2020, 휘경동,휘경SK뷰,5,15,59.55, ,372,11230,14, , 
"      22,100", ,2020,2020, 휘경동,캠퍼스드림오피스텔,5,15,16.04, ,336-32,11230,13, , 
"      82,900", ,2013,2020, 휘경동,브라운스톤휘경,5,16,84.91, ,368,11230,13, , 
"      74,000", ,2007,2020, 휘경동,동일스위트리버,5,18,84.973, ,366,11230,11, , 
"      78,000", ,2001,2020, 휘경동,주공1,5,19,114.73, ,57,11230,11, , 
"      53,000", ,1992,2020, 휘경동,현대,5,21,84.94, ,363,11230,14, , 
"      65,000", ,2003,2020, 휘경동,롯데낙천대,5,22,82.82, ,109,11230,16, , 
"      50,500", ,2000,2020, 휘경동,동양1차,5,23,59.85, ,115,11230,14, , 
"      63,000", ,2001,2020, 휘경동,주공1,5,23,84.8, ,57,11230,1, , 
"      54,800", ,2001,2020, 휘경동,주공2,5,26,59.13, ,57,11230,11, , 
"      52,500", ,2001,2020, 휘경동,주공2,5,26,59.97, ,57,11230,5, , 
"      37,000", ,2001,2020, 휘경동,주공2,5,28,39.98, ,57,11230,13, , 
"      55,000", ,2001,2020, 휘경동,주공2,5,28,59.79, ,57,11230,13, , 
"      33,500", ,2000,2020, 휘경동,월드아파트,5,31,83.71, ,108-4,11230,4, , 
"      68,000", ,2003,2020, 이문동,대림e-편한세상,5,5,59.958, ,225,11230,12, , 
