거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"      49,500", ,1988,2021, 쌍문동,삼익세라믹,4,2,58.77, ,56,11320,8, , 
"      77,700", ,2007,2021, 쌍문동,e편한세상,4,3,84.754, ,731,11320,5, , 
"      21,800", ,1989,2021, 쌍문동,한양2,4,6,28.71, ,59,11320,13, , 
"      78,500", ,1986,2021, 쌍문동,한양1,4,6,79.2, ,388-33,11320,13, , 
"      33,800", ,2015,2021, 쌍문동,그린힐스아파트,4,8,54.83, ,658,11320,8,21.06.28,O
"      33,800", ,2015,2021, 쌍문동,그린힐스아파트,4,8,54.83, ,658,11320,8,21.04.19,O
"      48,500", ,1988,2021, 쌍문동,삼익세라믹,4,9,58.77, ,56,11320,9, , 
"      62,470", ,2002,2021, 쌍문동,한양6,4,9,83.86, ,59-5,11320,6, , 
"      34,800", ,2004,2021, 쌍문동,성원하이츠A동,4,11,76.84, ,574,11320,3, , 
"      39,600", ,2019,2021, 쌍문동,쌍문리버뷰,4,12,46.84, ,103-69,11320,14, , 
"      49,500", ,2018,2021, 쌍문동,도봉금강아미움파크타운,4,12,64.0803, ,711,11320,5, , 
"      47,700", ,1990,2021, 쌍문동,금호1,4,13,56.73, ,199-1,11320,9, , 
"      60,000", ,1993,2021, 쌍문동,한양7,4,15,84.93, ,158,11320,12, , 
"      55,200", ,1988,2021, 쌍문동,한양2,4,15,76.92, ,59,11320,9, , 
"      30,500", ,1989,2021, 쌍문동,한양2,4,16,35.1, ,59,11320,3, , 
"      48,000", ,1991,2021, 쌍문동,한양5,4,16,65.37, ,59-3,11320,4, , 
"      48,000", ,1991,2021, 쌍문동,한양5,4,16,65.37, ,59-3,11320,4,21.08.30,O
"      58,700", ,1988,2021, 쌍문동,한양2,4,16,84.9, ,59,11320,4, , 
"      18,900", ,1988,2021, 쌍문동,기용,4,16,41.31, ,153,11320,4, , 
"      39,000", ,1981,2021, 쌍문동,백조,4,16,56.73, ,724,11320,3, , 
"      65,000", ,1990,2021, 쌍문동,금호1,4,16,84.88, ,199-1,11320,11, , 
"      32,000", ,1990,2021, 쌍문동,금호1,4,17,36.36, ,199-1,11320,14, , 
"      48,000", ,1988,2021, 쌍문동,한양2,4,17,59.67, ,59,11320,14, , 
"      32,900", ,1988,2021, 쌍문동,삼익세라믹,4,17,40.11, ,56,11320,7, , 
"      43,500", ,1981,2021, 쌍문동,백조,4,19,64.43, ,724,11320,3, , 
"      49,000", ,1991,2021, 쌍문동,한양5,4,19,65.37, ,59-3,11320,4, , 
"      31,250", ,1990,2021, 쌍문동,금호1,4,20,36.36, ,199-1,11320,14, , 
"      63,500", ,2002,2021, 쌍문동,한양6,4,20,83.86, ,59-5,11320,9, , 
"      32,000", ,1989,2021, 쌍문동,한양2,4,20,35.1, ,59,11320,4, , 
"      43,700", ,1995,2021, 쌍문동,미라보,4,20,59.96, ,160,11320,10, , 
