거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"     100,000",직거래,1996,2022, 구의동,구의현대2단지,11,18,84.91, ,611,11215,5, , 
"     185,000",중개거래,2011,2022, 광장동,유진스웰,11,30,165.327,서울 광진구,121,11215,3, , 
"     105,000",중개거래,1991,2022, 자양동,한강극동,11,16,84.45,서울 광진구,57-103,11215,11, , 
"      80,000",중개거래,2021,2022, 자양동,자양호반써밋,11,27,40.2673,서울 광진구,861,11215,10, , 
"      85,000",직거래,1989,2022, 자양동,우성2,11,28,51.57, ,520-2,11215,12, , 
"      17,000",중개거래,2017,2022, 화양동,씨즈건대힐스,11,4,14.23,서울 광진구,530,11215,4,22.12.22,O
"      15,000",중개거래,2017,2022, 화양동,씨즈건대힐스,11,25,14.23,서울 광진구,530,11215,7, , 
"      16,000",직거래,2014,2022, 군자동,에피소드1,11,10,17.81, ,355-5,11215,8, , 
