거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"      59,500", ,1998,2020, 가산동,두산,2,1,101.67, ,769,11545,25, , 
"      51,750", ,1998,2020, 가산동,두산,2,1,59.84, ,769,11545,14, , 
"      59,800", ,1998,2020, 가산동,두산,2,3,84.9, ,769,11545,13, , 
"       8,500", ,2014,2020, 가산동,비즈트위트바이올렛5차,2,5,12.1, ,140-36,11545,13, , 
"      49,950", ,1998,2020, 가산동,두산,2,11,59.84, ,769,11545,4, , 
"      53,500", ,1998,2020, 가산동,두산,2,13,59.84, ,769,11545,20, , 
"      32,500", ,1995,2020, 가산동,덕산,2,13,59.97, ,148-1,11545,5, , 
"      37,000", ,1998,2020, 가산동,삼익,2,14,84.69, ,234-46,11545,2, , 
"      59,800", ,1998,2020, 가산동,두산,2,15,84.9, ,769,11545,3, , 
"      32,200", ,1998,2020, 가산동,삼익,2,15,59.94, ,234-46,11545,1, , 
"      53,000", ,1998,2020, 가산동,두산,2,17,59.84, ,769,11545,7, , 
"      56,800", ,1998,2020, 가산동,두산,2,18,84.9, ,769,11545,4, , 
"      57,000", ,1998,2020, 가산동,두산,2,19,84.9, ,769,11545,6, , 
"      55,000", ,1998,2020, 가산동,두산,2,21,59.84, ,769,11545,17, , 
"      49,800", ,1998,2020, 가산동,두산,2,21,59.84, ,769,11545,3, , 
"      50,600", ,1998,2020, 가산동,두산,2,23,59.84, ,769,11545,4, , 
"      28,000", ,1998,2020, 가산동,주상복합두산,2,23,59.25, ,772,11545,4, , 
"      53,000", ,1998,2020, 가산동,두산,2,25,84.9, ,769,11545,1, , 
"      24,300", ,1990,2020, 독산동,독산주공14단지,2,1,38.64, ,1088,11545,11, , 
"      28,000", ,1990,2020, 독산동,독산주공14단지,2,1,44.94, ,1088,11545,7, , 
"      99,500", ,2016,2020, 독산동,금천롯데캐슬골드파크1차,2,2,84.8114, ,1147,11545,19, , 
"      43,900", ,2002,2020, 독산동,금천현대,2,3,59.82, ,711-2,11545,8, , 
"      38,000", ,2003,2020, 독산동,리치힐101동(993-25),2,3,105.09, ,993-25,11545,7, , 
"      52,000", ,1991,2020, 독산동,한신아파트,2,3,89.46, ,1093-4,11545,7, , 
"      24,300", ,1990,2020, 독산동,독산주공14단지,2,3,38.64, ,1088,11545,15, , 
"     100,000", ,2016,2020, 독산동,금천롯데캐슬골드파크1차,2,4,84.8114, ,1147,11545,15, , 
"      29,900", ,2002,2020, 독산동,아셈그린힐,2,4,74.86, ,184-3,11545,1, , 
"      59,250", ,2004,2020, 독산동,독산동중앙하이츠빌,2,4,84.8768, ,1140,11545,20, , 
"      53,000", ,1991,2020, 독산동,한신아파트,2,5,89.46, ,1093-4,11545,10, , 
"      24,000", ,1990,2020, 독산동,독산주공14단지,2,6,38.64, ,1088,11545,10, , 
"      30,000", ,1990,2020, 독산동,독산주공14단지,2,8,44.89, ,1088,11545,10, , 
"      37,000", ,1997,2020, 독산동,진도2차,2,8,59.95, ,1133,11545,2, , 
"      57,500", ,2004,2020, 독산동,독산동중앙하이츠빌,2,8,84.8768, ,1140,11545,4, , 
"      33,800", ,2003,2020, 독산동,동은노보빌(887-2),2,8,81.05, ,887-2,11545,6, , 
"      39,300", ,2002,2020, 독산동,각산,2,10,84.78, ,1093-5,11545,1, , 
"      59,000", ,1991,2020, 독산동,한신아파트,2,10,129.66, ,1093-4,11545,12, , 
"      45,500", ,1996,2020, 독산동,라이프,2,10,84.74, ,1131,11545,14, , 
"      27,000", ,1990,2020, 독산동,독산주공14단지,2,10,44.94, ,1088,11545,9, , 
"      24,500", ,1990,2020, 독산동,독산주공14단지,2,10,38.64, ,1088,11545,13, , 
"      22,500", ,1990,2020, 독산동,독산주공14단지,2,10,38.64, ,1088,11545,15, , 
"      58,000", ,2004,2020, 독산동,독산동중앙하이츠빌,2,10,84.8768, ,1140,11545,4, , 
"     104,000", ,2016,2020, 독산동,금천롯데캐슬골드파크1차,2,10,84.8114, ,1147,11545,35, , 
"      52,500", ,2002,2020, 독산동,금천현대,2,12,84.83, ,711-2,11545,13, , 
"      29,500", ,1990,2020, 독산동,독산주공14단지,2,12,44.94, ,1088,11545,12, , 
"     117,500", ,2016,2020, 독산동,금천롯데캐슬골드파크1차,2,12,101.8228, ,1147,11545,35, , 
"      48,000", ,1996,2020, 독산동,라이프,2,12,84.74, ,1131,11545,8, , 
"      44,300", ,2002,2020, 독산동,금천현대,2,12,59.82, ,711-2,11545,9, , 
"      42,500", ,2002,2020, 독산동,금천현대,2,12,59.82, ,711-2,11545,14, , 
"      27,200", ,1990,2020, 독산동,독산주공14단지,2,12,44.94, ,1088,11545,14, , 
