갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2002,신규,22.10~24.10,2022,영등포동,"54,000",영등포푸르지오,8,0,1,59.912, , ,647,11560,20
사용,2002,갱신,22.08~24.08,2022,영등포동,"52,500",영등포푸르지오,8,0,5,79.777,"50,000", ,647,11560,20
사용,2002,갱신,22.09~24.09,2022,영등포동,"47,250",영등포푸르지오,8,0,6,73.133,"45,000", ,647,11560,21
 ,2002,갱신,22.08~24.08,2022,영등포동,"10,500",영등포푸르지오,8,84,6,59.912,"1,000",80,647,11560,12
 ,2004, , ,2022,영등포동,"52,000",두산위브,8,0,6,84.63, , ,649,11560,12
 ,2002,신규,22.09~24.09,2022,영등포동,"50,000",영등포푸르지오,8,0,6,73.133, , ,647,11560,21
 ,2002,신규,22.10~24.10,2022,영등포동,"53,000",영등포푸르지오,8,0,8,59.912, , ,647,11560,1
사용,2002,갱신,22.08~24.08,2022,영등포동,"49,300",영등포푸르지오,8,0,9,84.84,"47,000", ,647,11560,2
사용,2002,갱신,22.10~24.10,2022,영등포동,"16,500",영등포푸르지오,8,65,12,59.912,"15,000",65,647,11560,9
 ,2002,신규,22.09~24.09,2022,영등포동,"10,000",영등포푸르지오,8,140,12,79.777, , ,647,11560,19
 ,2004,신규,22.09~24.09,2022,영등포동,"54,000",두산위브,8,0,14,84.63, , ,649,11560,3
 ,2002,신규,22.08~24.08,2022,영등포동,"10,000",영등포푸르지오,8,155,15,73.133, , ,647,11560,10
 ,2002,신규,22.08~24.08,2022,영등포동,"10,000",영등포푸르지오,8,150,15,73.133, , ,647,11560,7
사용,2002,갱신,22.10~24.10,2022,영등포동,"48,500",영등포푸르지오,8,0,16,79.777,"46,200", ,647,11560,4
사용,2002,갱신,22.08~24.08,2022,영등포동,"26,000",영등포푸르지오,8,73,16,84.908,"30,000",51,647,11560,5
 ,2002,신규,22.08~24.08,2022,영등포동,"15,000",영등포푸르지오,8,120,17,73.133, , ,647,11560,19
 ,2002,신규,22.09~24.09,2022,영등포동,"65,000",영등포푸르지오,8,0,18,79.777, , ,647,11560,12
 ,2002,신규,22.10~24.10,2022,영등포동,"40,000",영등포푸르지오,8,80,18,73.133, , ,647,11560,12
사용,2002,갱신,22.08~24.08,2022,영등포동,"50,400",영등포푸르지오,8,0,19,79.777,"48,000", ,647,11560,4
 ,2002,신규,22.10~24.10,2022,영등포동,"61,000",영등포푸르지오,8,0,20,73.133, , ,647,11560,16
사용,2002,갱신,22.09~24.09,2022,영등포동,"49,350",영등포푸르지오,8,0,20,73.133,"47,000", ,647,11560,13
 ,2002, ,22.10~24.10,2022,영등포동,"59,900",영등포푸르지오,8,0,20,79.777, , ,647,11560,11
 ,2002, , ,2022,영등포동,"59,900",영등포푸르지오,8,0,20,79.777, , ,647,11560,11
 ,2002, ,22.09~24.09,2022,영등포동,"59,900",영등포푸르지오,8,0,20,79.777, , ,647,11560,11
 ,2002,신규,22.11~24.11,2022,영등포동,"35,000",영등포푸르지오,8,43,20,59.912, , ,647,11560,14
 ,2002, , ,2022,영등포동,"61,000",영등포푸르지오,8,0,20,73.133, , ,647,11560,16
사용,2002,갱신,22.10~24.10,2022,영등포동,"52,500",영등포푸르지오,8,0,20,84.84,"50,000", ,647,11560,20
 ,2021, , ,2022,영등포동,"41,000",라르파크,8,0,20,30.3116, , ,651,11560,5
사용,2002,갱신,22.09~24.09,2022,영등포동,"51,450",영등포푸르지오,8,0,23,84.908,"49,000", ,647,11560,22
사용,2002,갱신,22.08~24.08,2022,영등포동,"50,400",영등포푸르지오,8,0,24,79.777,"48,000", ,647,11560,13
사용,2002,갱신,22.10~24.10,2022,영등포동,"54,600",영등포푸르지오,8,0,24,79.777,"52,000", ,647,11560,1
 ,2002, , ,2022,영등포동,"60,000",영등포푸르지오,8,0,25,84.84, , ,647,11560,20
 ,2002,갱신,22.08~24.08,2022,영등포동,"49,000",영등포푸르지오,8,10,25,73.133,"24,000",40,647,11560,3
 ,2002,갱신,22.10~24.10,2022,영등포동,"46,000",영등포푸르지오,8,0,25,73.133,"44,000", ,647,11560,15
사용,2002,갱신,22.10~24.10,2022,영등포동,"59,000",영등포푸르지오,8,0,25,84.84,"60,000", ,647,11560,20
사용,2002,갱신,22.08~24.06,2022,영등포동,"47,000",영등포푸르지오,8,0,26,73.133,"45,000", ,647,11560,21
사용,2004,갱신,22.12~24.12,2022,영등포동,"53,040",두산위브,8,0,27,59.8,"52,000", ,649,11560,9
 ,2002, ,22.10~24.10,2022,영등포동,"20,000",영등포푸르지오,8,66,27,59.912, , ,647,11560,14
 ,2002,신규,22.08~24.08,2022,영등포동,"60,000",영등포푸르지오,8,0,29,79.777, , ,647,11560,23
 ,2002, ,22.09~24.09,2022,영등포동,"47,000",영등포푸르지오,8,0,29,73.133, , ,647,11560,22
 ,2002,신규,22.10~24.10,2022,영등포동,"59,000",영등포푸르지오,8,0,31,73.133, , ,647,11560,18
사용,2020,갱신,22.08~24.08,2022,영등포동1가,"16,800",여의도더리브스타일,8,0,1,14.8376,"16,000", ,94-2,11560,5
 ,2020,신규,22.08~24.08,2022,영등포동1가,"21,500",여의도더리브스타일,8,0,1,14.8376, , ,94-2,11560,14
 ,2020, , ,2022,영등포동1가,"22,000",여의도더리브스타일,8,0,1,14.8376, , ,94-2,11560,14
 ,2020,갱신,22.08~24.08,2022,영등포동1가,"19,800",여의도더리브스타일,8,0,5,14.8376,"18,900", ,94-2,11560,21
 ,2013, , ,2022,영등포동1가,"4,100",스테이72여의도,8,30,7,12.06, , ,75-4,11560,6
사용,2020,갱신,22.08~24.08,2022,영등포동1가,"20,300",여의도더리브스타일,8,0,7,14.8376,"19,500", ,94-2,11560,17
 ,2012,신규,22.09~24.09,2022,영등포동1가,"13,860",내이처해밀,8,0,8,14.24, , ,145,11560,13
 ,2012,갱신,22.09~24.09,2022,영등포동1가,"13,860",내이처해밀,8,0,8,14.24,"13,860", ,145,11560,13
 ,2020, , ,2022,영등포동1가,"21,000",여의도더리브스타일,8,0,9,14.8376, , ,94-2,11560,22
 ,2020,갱신,22.09~24.09,2022,영등포동1가,"18,900",여의도더리브스타일,8,0,10,14.8376,"18,000", ,94-2,11560,11
사용,2020,갱신,22.09~24.09,2022,영등포동1가,"18,900",여의도더리브스타일,8,0,12,14.8376,"18,000", ,94-2,11560,10
 ,2011,신규,22.09~23.09,2022,영등포동1가,"2,000",헤렌어반,8,40,13,13.331, , ,144,11560,9
 ,2020, , ,2022,영등포동1가,"17,850",여의도더리브스타일,8,0,13,14.8376, , ,94-2,11560,7
 ,2012,신규,22.09~24.09,2022,영등포동1가,"14,500",내이처해밀,8,0,18,14.24, , ,145,11560,5
 ,2014,신규,22.10~24.10,2022,영등포동1가,"17,500",지엘리베라움,8,0,20,12.62, , ,28,11560,9
 ,2020, , ,2022,영등포동1가,"37,800",여의도더리브스타일,8,0,22,30.2696, , ,94-2,11560,10
 ,2013,신규,22.09~23.09,2022,영등포동1가,"7,000",여의도씨티아이,8,30,24,12.59, , ,113-1,11560,14
 ,2012,갱신,22.08~24.08,2022,영등포동1가,650,내이처해밀,8,50,24,15.076,650,50,145,11560,2
 ,2013,신규,22.09~23.09,2022,영등포동1가,"4,000",스테이72여의도,8,35,25,12.97, , ,75-4,11560,9
 ,2011,신규,22.09~23.09,2022,영등포동1가,"2,000",헤렌어반,8,45,26,13.331, , ,144,11560,3
 ,2011,신규,22.09~24.09,2022,영등포동1가,"14,000",헤렌어반,8,0,29,13.331, , ,144,11560,4
사용,2020,갱신,22.09~24.09,2022,영등포동1가,"21,266",여의도더리브스타일,8,0,31,14.8376,"20,253", ,94-2,11560,20
사용,2020,갱신,22.08~24.08,2022,영등포동1가,"17,100",여의도더리브스타일,8,0,31,14.8376,"16,500", ,94-2,11560,5
사용,2016,갱신,22.08~24.08,2022,영등포동2가,"29,000",현대팰리스,8,0,15,39.53,"28,000", ,28-138,11560,8
