갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,1998, , ,2021,가산동,"1,000",두산,7,90,1,59.84, , ,769,11545,8
 ,1998, ,21.08~23.08,2021,가산동,"45,000",두산,7,0,1,84.9, , ,769,11545,5
 ,1998,신규,21.08~23.08,2021,가산동,"45,000",두산,7,0,1,84.9, , ,769,11545,5
 ,1998,신규,21.07~23.07,2021,가산동,"25,000",두산,7,45,1,59.84, , ,769,11545,1
 ,1998, ,21.07~23.07,2021,가산동,"25,000",두산,7,45,1,59.84, , ,769,11545,1
 ,2014, ,21.08~23.08,2021,가산동,"12,300",비즈트위트바이올렛5차,7,0,2,12.19, , ,140-36,11545,8
 ,1998, ,21.08~23.08,2021,가산동,"55,000",두산,7,0,3,84.9, , ,769,11545,21
 ,1998, ,21.08~23.08,2021,가산동,"50,000",두산,7,0,3,84.9, , ,769,11545,20
 ,1998,신규,21.08~23.08,2021,가산동,"55,000",두산,7,0,3,84.9, , ,769,11545,21
 ,2014, ,21.07~22.07,2021,가산동,"3,500",비즈트위트바이올렛5차,7,30,3,12.19, , ,140-36,11545,9
 ,1998,신규,21.09~23.09,2021,가산동,"41,000",두산,7,0,12,59.84, , ,769,11545,12
 ,2014,신규,21.07~22.07,2021,가산동,"3,000",비즈트위트바이올렛5차,7,35,14,12.19, , ,140-36,11545,13
 ,1998,신규,21.07~23.07,2021,가산동,"37,500",두산,7,0,14,134.95, , ,769,11545,11
 ,1998, ,21.07~23.07,2021,가산동,"24,000",주상복합두산,7,0,16,59.25, , ,772,11545,6
사용,1998,갱신,21.07~23.07,2021,가산동,"24,000",주상복합두산,7,0,16,59.25,"23,000", ,772,11545,6
 ,2004,신규,21.08~24.03,2021,가산동,"3,000",드림캐슬,7,80,17,77.11, , ,235-57,11545,3
 ,2014,신규,21.07~22.07,2021,가산동,500,비즈트위트바이올렛5차,7,40,18,12.31, , ,140-36,11545,14
 ,1998, ,21.08~23.08,2021,가산동,"20,000",두산,7,50,18,84.9, , ,769,11545,16
 ,2014,신규,21.07~22.07,2021,가산동,500,비즈트위트바이올렛5차,7,40,20,12.31, , ,140-36,11545,11
 ,2018, ,21.07~21.10,2021,가산동,500,가산지웰에스테이트2차,7,48,20,14.12, , ,143-6,11545,8
 ,2014,신규,21.07~22.07,2021,가산동,700,비즈트위트바이올렛5차,7,45,20,12.19, , ,140-36,11545,10
 ,1998, ,21.09~23.09,2021,가산동,"52,000",두산,7,0,20,84.9, , ,769,11545,17
 ,2017,신규,21.07~22.07,2021,가산동,500,가산피어니빌,7,50,24,14.0429, , ,143-20,11545,3
 ,1998, ,21.10~23.10,2021,가산동,"30,000",두산,7,0,24,59.84, , ,769,11545,14
 ,2017, , ,2021,가산동,"1,000",가산피어니빌,7,50,27,13.8029, , ,143-20,11545,7
 ,2017,신규,21.07~22.07,2021,가산동,"1,000",가산피어니빌,7,50,27,13.8029, , ,143-20,11545,7
