갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2005, , ,2020,충정로3가,"5,000",충정솔레디움(101동),5,100,5,83.09, , ,30-17,11410,3
 ,2005, , ,2020,충정로3가,"34,000",충정솔레디움(102동),5,0,5,83.09, , ,30-2,11410,2
 ,2004, , ,2020,충정로3가,"28,000",충정리시온,5,0,8,38.7, , ,465,11410,19
 ,2004, , ,2020,충정로3가,"3,000",충정리시온,5,80,9,33.32, , ,465,11410,15
 ,2010, , ,2020,충정로3가,"41,000",충림예하임,5,0,11,84.6, , ,477,11410,2
 ,2005, , ,2020,충정로3가,"38,000",충정솔레디움(101동),5,0,13,83.09, , ,30-17,11410,3
 ,2004, , ,2020,충정로3가,"25,000",충정리시온,5,30,19,45.89, , ,465,11410,12
 ,2020, , ,2020,충정로3가,"5,310",더스타일하우스디센트럴,5,32,19,17.6626, , ,480,11410,4
 ,2020, , ,2020,충정로3가,"7,886",더스타일하우스디센트럴,5,47,20,26.5236, , ,480,11410,4
 ,2020, , ,2020,충정로3가,"2,356",더스타일하우스디센트럴,5,4,20,16.0626, , ,480,11410,3
 ,2020, , ,2020,충정로3가,"3,990",더스타일하우스디센트럴,5,37,22,17.6626, , ,480,11410,3
 ,2008, , ,2020,충정로3가,"50,000",우리유앤미,5,0,25,84.73, , ,466,11410,18
 ,2008, , ,2020,합동,"3,000",에스케이뷰,5,190,4,84.98, , ,118,11410,3
 ,2008, , ,2020,합동,"58,000",에스케이뷰,5,0,5,84.909, , ,118,11410,9
 ,1971, , ,2020,미근동,"3,000",서소문,5,60,11,42.64, , ,215,11410,5
 ,1971, , ,2020,미근동,"9,000",서소문,5,0,13,39.34, , ,215,11410,2
 ,2011, , ,2020,냉천동,"51,000",돈의문센트레빌,5,0,12,59.98, , ,261,11410,6
 ,2011, , ,2020,냉천동,"50,000",돈의문센트레빌,5,0,14,59.98, , ,261,11410,4
 ,2011, , ,2020,냉천동,"80,000",돈의문센트레빌,5,0,19,114.98, , ,261,11410,5
 ,2011, , ,2020,냉천동,"2,657",돈의문센트레빌(215),5,26,22,30.19, , ,261-1,11410,3
 ,2011, , ,2020,냉천동,"70,000",돈의문센트레빌,5,0,23,84.99, , ,261,11410,9
 ,2002, , ,2020,냉천동,"38,000",동부센트레빌,5,0,26,59.86, , ,260,11410,7
 ,2011, , ,2020,냉천동,"67,000",돈의문센트레빌,5,0,30,84.99, , ,261,11410,6
 ,2006, , ,2020,천연동,"35,000",천연뜨란채,5,0,9,57.78, , ,145,11410,8
 ,2006, , ,2020,천연동,"2,000",천연뜨란채,5,70,12,30.17, , ,145,11410,3
