갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2018, , ,2020,방배동,"95,000",방배아트자이,5,0,1,84.9383, , ,3278,11650,2
 ,1996, , ,2020,방배동,"25,000",월드빌라트(798-5),5,440,1,201.71, , ,798-5,11650,1
 ,1975, , ,2020,방배동,"54,000",삼호1동~3동,5,0,2,116.96, , ,770-1,11650,1
 ,2017, , ,2020,방배동,"66,000",서초훼미리하우스,5,0,2,59.49, , ,917-4,11650,11
 ,1975, , ,2020,방배동,"5,000",삼호1동~3동,5,110,2,80.33, , ,770-1,11650,6
 ,2018, , ,2020,방배동,"45,000",자현유하우스,5,0,4,41.81, , ,940-4,11650,5
 ,1988, , ,2020,방배동,"33,000",방배임광,5,0,4,51.84, , ,1010-1,11650,7
 ,2005, , ,2020,방배동,"92,000",방배래미안타워,5,0,4,134.96, , ,485-3,11650,21
 ,1999, , ,2020,방배동,"73,500",방배1차현대홈타운,5,40,5,84.96, , ,1344,11650,10
 ,2005, , ,2020,방배동,"85,000",브라운스톤방배,5,0,5,84.96, , ,899-16,11650,1
 ,2004, , ,2020,방배동,"65,000",파라다이스(477-7),5,0,5,84.87, , ,477-7,11650,4
 ,1976, , ,2020,방배동,"85,000",삼호3,5,0,5,181.6, , ,757-3,11650,8
 ,2020, , ,2020,방배동,"68,000",서리풀프라젠아파트,5,0,6,78.69, , ,3281,11650,2
 ,2006, , ,2020,방배동,"170,000",방배3차e-편한세상,5,0,6,198.5315, , ,797-30,11650,1
 ,2013, , ,2020,방배동,"105,000",롯데캐슬아르떼,5,0,6,84.9145, , ,424-28,11650,2
 ,1988, , ,2020,방배동,"33,000",방배임광,5,0,7,51.84, , ,1010-1,11650,9
 ,2010, , ,2020,방배동,"60,000",서리풀e편한세상,5,160,8,84.97, , ,906-13,11650,8
 ,2005, , ,2020,방배동,"20,000",방배아트e-편한세상106,5,110,8,74.87, , ,486-8,11650,4
 ,2005, , ,2020,방배동,"20,000",방배아트e-편한세상106,5,110,8,74.87, , ,486-8,11650,4
 ,2003, , ,2020,방배동,"110,000",방배자이,5,0,8,194.92, , ,888-53,11650,5
 ,1999, , ,2020,방배동,"50,000",방배1차현대홈타운,5,120,9,114.78, , ,1344,11650,6
 ,1999, , ,2020,방배동,"63,000",방배1차현대홈타운,5,0,9,59.94, , ,1344,11650,7
 ,2013, , ,2020,방배동,"20,000",롯데캐슬아르떼,5,290,9,84.9321, , ,424-28,11650,8
 ,2013, , ,2020,방배동,"20,000",롯데캐슬아르떼,5,290,9,84.9321, , ,424-28,11650,8
 ,1992, , ,2020,방배동,"62,000",대우(효령),5,0,9,84.91, , ,1038,11650,10
 ,2001, , ,2020,방배동,"30,000",방배2차현대홈타운,5,75,9,59.86, , ,2001,11650,7
 ,2001, , ,2020,방배동,"89,000",방배2차현대홈타운,5,0,9,84.94, , ,2001,11650,7
 ,2005, , ,2020,방배동,"15,000",한진로즈힐,5,180,9,84.376, , ,3276,11650,6
 ,2006, , ,2020,방배동,"103,000",쌍용예가클래식,5,0,9,155.4471, , ,776-3,11650,9
 ,1988, , ,2020,방배동,"40,000",방배임광,5,0,9,67.47, , ,1010-1,11650,10
 ,2013, , ,2020,방배동,"30,000",롯데캐슬아르떼,5,370,10,147.7221, , ,424-28,11650,10
 ,2001, , ,2020,방배동,"88,000",방배2차현대홈타운,5,0,12,84.94, , ,2001,11650,9
 ,2003, , ,2020,방배동,"61,000",삼성래미안1,5,0,12,59.9, , ,2626,11650,10
 ,1976, , ,2020,방배동,"65,000",삼호3,5,0,12,129.76, , ,757-3,11650,1
 ,2013, , ,2020,방배동,"100,000",롯데캐슬아르떼,5,0,13,84.9321, , ,424-28,11650,15
 ,2004, , ,2020,방배동,"47,000",그린,5,0,13,74.37, , ,926-7,11650,6
 ,2018, , ,2020,방배동,"48,000",자현유하우스,5,0,13,41.74, , ,940-4,11650,5
 ,1999, , ,2020,방배동,"10,000",방배1차현대홈타운,5,130,13,59.94, , ,1344,11650,10
 ,2018, , ,2020,방배동,"90,000",방배아트자이,5,0,14,59.9775, , ,3278,11650,10
 ,2005, , ,2020,방배동,"25,000",방배대우디오빌,5,0,14,28.84, , ,866-20,11650,6
 ,2003, , ,2020,방배동,"10,000",삼성래미안1,5,165,14,59.9, , ,2626,11650,4
 ,2019, , ,2020,방배동,"99,000",방배 서리풀 그랑블,5,0,15,84.9969, , ,3279,11650,6
 ,1992, , ,2020,방배동,"65,000",대우(효령),5,0,15,84.91, , ,1038,11650,9
 ,1975, , ,2020,방배동,"55,000",삼호1동~3동,5,0,15,116.13, , ,770-1,11650,11
 ,2006, , ,2020,방배동,"105,000",롯데캐슬헤론,5,0,16,124.27, , ,754-1,11650,2
 ,2005, , ,2020,방배동,"185,000",황실자이,5,0,16,191.297, , ,883-9,11650,4
 ,2003, , ,2020,방배동,"100,000",방배자이,5,70,16,164.96, , ,888-53,11650,13
 ,2003, , ,2020,방배동,"100,000",방배자이,5,70,16,164.96, , ,888-53,11650,13
 ,2002, , ,2020,방배동,"30,000",방배리치빌,5,100,16,116.52, , ,474-9,11650,4
 ,2019, , ,2020,방배동,"48,000",방배마에스트로,5,0,18,34.59, , ,866-10,11650,25
 ,2003, , ,2020,방배동,"72,000",삼성래미안1,5,0,18,84.91, , ,2626,11650,5
 ,2004, , ,2020,방배동,"125,000",방배아크로리버,5,0,18,149.225, , ,752-36,11650,19
 ,2002, , ,2020,방배동,"7,000",네스코,5,180,19,94.64, , ,956-8,11650,3
