갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2018, , ,2020,신설동,"14,700",포레스트힐시티,10,0,3,15.25, , ,100-26,11230,17
 ,2018, , ,2020,신설동,"2,000",포레스트힐시티,10,55,9,14.75, , ,100-26,11230,19
 ,2018, , ,2020,신설동,"1,000",포레스트힐시티,10,60,10,14.75, , ,100-26,11230,16
 ,2018, , ,2020,신설동,"13,650",포레스트힐시티,10,0,13,14.75, , ,100-26,11230,15
 ,2018, , ,2020,신설동,"13,650",포레스트힐시티,10,0,17,14.75, , ,100-26,11230,20
 ,2018, , ,2020,신설동,"13,600",포레스트힐시티,10,0,17,14.75, , ,100-26,11230,19
 ,2018, , ,2020,신설동,"13,000",포레스트힐시티,10,0,30,15.25, , ,100-26,11230,16
 ,2018, , ,2020,신설동,"14,175",포레스트힐시티,10,0,30,14.75, , ,100-26,11230,18
 ,2007, , ,2020,용두동,"12,000",청계천대성스카이렉스2,10,80,3,84.99, , ,255-66,11230,10
 ,2011, , ,2020,용두동,"85,000",래미안 허브리츠,10,0,5,114.98, , ,792,11230,17
 ,2016, , ,2020,용두동,"10,000",동대문푸르지오시티(도시형생활주택),10,69,6,30.11, , ,104-3,11230,17
 ,2004, , ,2020,용두동,"3,000",신설동역대우아이빌1,10,85,6,47.988, , ,236-1,11230,6
 ,2015, , ,2020,용두동,"75,000",용두롯데캐슬리치,10,0,7,84.5011, , ,794,11230,16
 ,2011, , ,2020,용두동,"57,500",래미안 허브리츠,10,0,7,84.96, , ,792,11230,9
 ,2007, , ,2020,용두동,"45,000",청계천대성스카이렉스2,10,0,7,84.99, , ,255-66,11230,6
 ,1994, , ,2020,용두동,"3,000",신동아,10,75,7,49.68, , ,779,11230,3
 ,2020, , ,2020,용두동,"7,000",동대문베네스트,10,40,8,18.36, , ,100-5,11230,20
 ,2015, , ,2020,용두동,"80,000",용두롯데캐슬리치,10,0,8,114.7715, , ,794,11230,13
 ,2009, , ,2020,용두동,"20,470",롯데캐슬피렌체,10,0,8,26.08, , ,790,11230,11
 ,1994, , ,2020,용두동,"30,000",신동아,10,0,9,49.68, , ,779,11230,2
 ,1994, , ,2020,용두동,"35,000",신동아,10,0,9,71.01, , ,779,11230,9
 ,2019, , ,2020,용두동,"3,000",청계한양아이클래스,10,110,9,24.67, , ,255-49,11230,17
 ,2011, , ,2020,용두동,"56,700",래미안 허브리츠,10,0,10,84.97, , ,792,11230,13
 ,2020, , ,2020,용두동,"23,000",동대문베네스트,10,0,10,18.36, , ,100-5,11230,19
 ,2009, , ,2020,용두동,"3,000",롯데캐슬피렌체,10,75,10,30.4, , ,790,11230,11
 ,2009, , ,2020,용두동,"3,000",롯데캐슬피렌체,10,75,10,30.4, , ,790,11230,11
 ,2014, , ,2020,용두동,"3,000",한양아이클래스,10,40,10,14.19, , ,112-8,11230,6
 ,2020, , ,2020,용두동,"19,500",동대문베네스트,10,0,11,18.36, , ,100-5,11230,19
 ,2011, , ,2020,용두동,"65,000",래미안 허브리츠,10,0,11,59.96, , ,792,11230,10
 ,2020, , ,2020,용두동,"4,000",동대문베네스트,10,60,13,18.36, , ,100-5,11230,18
 ,2020, , ,2020,용두동,"21,500",동대문베네스트,10,0,14,18.36, , ,100-5,11230,17
 ,2011, , ,2020,용두동,"60,000",래미안 허브리츠,10,0,15,84.97, , ,792,11230,13
 ,2016, , ,2020,용두동,"1,000",동대문푸르지오시티(도시형생활주택),10,100,16,30.11, , ,104-3,11230,11
 ,2020, , ,2020,용두동,"20,000",동대문베네스트,10,0,16,18.36, , ,100-5,11230,15
 ,2011, , ,2020,용두동,"75,000",래미안 허브리츠,10,0,16,84.97, , ,792,11230,18
 ,2020, , ,2020,용두동,"7,000",동대문베네스트,10,40,17,18.36, , ,100-5,11230,17
 ,2016, , ,2020,용두동,"29,000",동대문푸르지오시티(도시형생활주택),10,0,18,30.11, , ,104-3,11230,10
 ,2016, , ,2020,용두동,"17,500",동대문푸르지오시티(도시형생활주택),10,0,19,19.51, , ,104-3,11230,21
 ,2011, , ,2020,용두동,"48,000",래미안 허브리츠,10,0,19,59.96, , ,792,11230,5
 ,2020, , ,2020,용두동,"10,000",동대문베네스트,10,35,20,18.36, , ,100-5,11230,15
 ,2016, , ,2020,용두동,"1,000",동대문푸르지오시티(도시형생활주택),10,62,20,19.51, , ,104-3,11230,9
 ,2011, , ,2020,용두동,"10,000",래미안 허브리츠,10,170,21,114.98, , ,792,11230,9
 ,2020, , ,2020,용두동,"22,000",동대문베네스트,10,0,21,18.81, , ,100-5,11230,16
 ,1994, , ,2020,용두동,"34,650",신동아,10,0,21,84.63, , ,779,11230,2
 ,1994, , ,2020,용두동,"5,000",신동아,10,80,23,49.68, , ,779,11230,8
 ,1994, , ,2020,용두동,"35,700",신동아,10,0,23,84.63, , ,779,11230,10
 ,2020, , ,2020,용두동,"20,000",동대문베네스트,10,0,24,18.36, , ,100-5,11230,18
 ,2011, , ,2020,용두동,"57,200",래미안 허브리츠,10,0,24,84.96, , ,792,11230,3
 ,2016, , ,2020,용두동,"35,000",동대문푸르지오시티(도시형생활주택),10,0,24,30.11, , ,104-3,11230,9
 ,2011, , ,2020,용두동,"20,000",래미안 허브리츠,10,70,25,59.98, , ,792,11230,9
 ,2009, , ,2020,용두동,"47,000",용두두산위브,10,0,25,59.99, , ,791,11230,8
 ,2020, , ,2020,용두동,"22,000",동대문베네스트,10,0,26,18.36, , ,100-5,11230,17
 ,2020, , ,2020,용두동,"2,000",동대문베네스트,10,60,27,18.36, , ,100-5,11230,16
 ,2020, , ,2020,용두동,"3,000",동대문베네스트,10,130,27,36.97, , ,100-5,11230,17
 ,2009, , ,2020,용두동,"56,000",용두두산위브,10,0,30,105.6, , ,791,11230,22
 ,2020, , ,2020,용두동,"7,000",동대문베네스트,10,45,31,18.81, , ,100-5,11230,15
 ,2020, , ,2020,용두동,"20,000",동대문베네스트,10,0,31,18.36, , ,100-5,11230,15
 ,2011, , ,2020,용두동,"57,700",래미안 허브리츠,10,0,31,84.96, , ,792,11230,3
 ,2016, , ,2020,용두동,"32,000",동대문푸르지오시티(도시형생활주택),10,0,31,30.11, , ,104-3,11230,5
 ,2009, , ,2020,용두동,"50,000",롯데캐슬피렌체,10,0,31,84.99, , ,790,11230,14
 ,2016, , ,2020,제기동,"38,000",어반넥서스,10,0,5,52.84, , ,1158-40,11230,7
 ,2016, , ,2020,제기동,"38,000",어반넥서스,10,0,5,52.84, , ,1158-40,11230,7
 ,2003, , ,2020,제기동,"35,700",안암골벽산,10,0,8,59.94, , ,153,11230,2
 ,2004, , ,2020,제기동,"30,500",한신아파트,10,0,8,59.84, , ,1212,11230,1
 ,2003, , ,2020,제기동,"47,000",안암골벽산,10,0,8,116.69, , ,153,11230,18
 ,2003, , ,2020,제기동,"44,000",안암골벽산,10,0,10,84.98, , ,153,11230,22
 ,2004, , ,2020,제기동,"32,000",한신아파트,10,0,10,59.84, , ,1212,11230,2
 ,2003, , ,2020,제기동,"40,000",안암골벽산,10,30,10,84.98, , ,153,11230,12
 ,2004, , ,2020,제기동,"40,000",한신아파트,10,0,12,59.84, , ,1212,11230,6
 ,1971, , ,2020,제기동,"8,400",홍파,10,0,12,39.67, , ,120-10,11230,5
 ,2004, , ,2020,제기동,"21,000",한신아파트,10,70,13,84.76, , ,1212,11230,8
 ,2005, , ,2020,제기동,"43,000",이수브라운스톤,10,0,13,84.51, , ,252,11230,2
 ,2004, , ,2020,제기동,"20,000",한신아파트,10,60,14,59.84, , ,1212,11230,12
 ,1999, , ,2020,제기동,"20,000",현대,10,50,15,59.92, , ,892-66,11230,3
 ,2004, , ,2020,제기동,"47,000",한신아파트,10,0,20,84.76, , ,1212,11230,20
 ,2004, , ,2020,제기동,"4,046",제기한신113동(임대),10,0,21,32.76, , ,1212-1,11230,4
 ,2004, , ,2020,제기동,"2,000",한신아파트,10,120,22,59.84, , ,1212,11230,16
 ,2003, , ,2020,제기동,"52,000",안암골벽산,10,0,24,84.98, , ,153,11230,5
 ,2004, , ,2020,제기동,"47,200",한신아파트,10,0,24,114.885, , ,1212,11230,15
 ,2003, , ,2020,제기동,"53,000",안암골벽산,10,0,29,59.94, , ,153,11230,20
 ,2004, , ,2020,제기동,"42,000",한신아파트,10,0,30,84.76, , ,1212,11230,15
 ,2000, , ,2020,전농동,"38,000",전농동삼성래미안,10,12,3,84.98, , ,155,11230,20
 ,1997, , ,2020,전농동,"40,000",동아,10,0,4,83.01, , ,645-2,11230,2
 ,2012, , ,2020,전농동,"51,000",래미안아름숲,10,0,6,84.91, , ,688,11230,1
 ,2014, , ,2020,전농동,"8,000",래미안크레시티,10,130,6,84.96, , ,690,11230,20
 ,2012, , ,2020,전농동,"3,000",와이시티휘경,10,35,6,16.71, , ,689,11230,6
 ,2000, , ,2020,전농동,"45,100",전농동삼성래미안,10,0,6,114.89, , ,155,11230,12
 ,2012, , ,2020,전농동,"4,676",래미안아름숲(임대),10,9,6,34.2, , ,688-1,11230,10
 ,2000, , ,2020,전농동,"42,000",전농SK,10,4,7,114.3, , ,10,11230,20
 ,2000, , ,2020,전농동,"35,000",전농SK,10,0,7,59.34, , ,10,11230,10
 ,2005, , ,2020,전농동,"40,000",전농동신성미소지움,10,0,8,55.371, , ,687,11230,7
 ,2014, , ,2020,전농동,"52,500",래미안크레시티,10,0,8,84.96, , ,690,11230,6
 ,1997, , ,2020,전농동,"41,000",동아,10,0,9,57.9, , ,645-2,11230,13
 ,1997, , ,2020,전농동,"29,400",동아,10,0,10,57.9, , ,645-2,11230,19
 ,1997, , ,2020,전농동,"55,000",동아,10,0,10,83.01, , ,645-2,11230,4
 ,2018, , ,2020,전농동,"37,800",동대문롯데캐슬노블레스,10,0,10,59.98, , ,695,11230,2
 ,2014, , ,2020,전농동,"44,100",래미안크레시티,10,0,10,59.99, , ,690,11230,5
 ,2019, , ,2020,전농동,"24,100",리베르떼,10,0,10,27.23, , ,597-5,11230,13
 ,1992, , ,2020,전농동,"26,200",전농우성,10,0,10,59.78, , ,6,11230,9
 ,1997, , ,2020,전농동,"29,000",동아,10,0,11,57.9, , ,645-2,11230,12
 ,2000, , ,2020,전농동,"44,000",전농SK,10,0,11,114.3, , ,10,11230,16
 ,2012, , ,2020,전농동,"49,300",래미안아름숲,10,0,12,84.91, , ,688,11230,9
 ,2018, , ,2020,전농동,"63,000",동대문롯데캐슬노블레스,10,0,12,84.98, , ,695,11230,29
 ,1997, , ,2020,전농동,"30,000",동아,10,0,12,57.9, , ,645-2,11230,10
 ,2014, , ,2020,전농동,"50,000",래미안크레시티,10,0,13,121.95, , ,690,11230,7
 ,1992, , ,2020,전농동,"3,000",전농우성,10,65,14,44.24, , ,6,11230,15
