갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2014, , ,2020,상왕십리동,"10,000",텐즈힐(2구역),7,165,4,59.96, , ,811,11200,15
 ,2014, , ,2020,상왕십리동,"83,000",텐즈힐(2구역),7,0,4,84.9, , ,811,11200,14
 ,2014, , ,2020,상왕십리동,0,텐즈힐(2구역),7,150,6,84.92, , ,811,11200,7
 ,2014, , ,2020,상왕십리동,"100,000",텐즈힐(2구역),7,0,6,127.44, , ,811,11200,14
 ,2014, , ,2020,상왕십리동,"55,650",텐즈힐(2구역),7,0,8,59.96, , ,811,11200,12
 ,2014, , ,2020,상왕십리동,"62,000",텐즈힐(2구역),7,0,15,59.96, , ,811,11200,8
 ,2014, , ,2020,상왕십리동,"80,000",텐즈힐(2구역),7,0,15,84.93, , ,811,11200,23
 ,2014, , ,2020,상왕십리동,"6,942",텐즈힐(2구역),7,0,15,36.39, , ,811,11200,8
 ,2014, , ,2020,상왕십리동,"87,000",텐즈힐(2구역),7,0,16,127.44, , ,811,11200,25
 ,2014, , ,2020,상왕십리동,"39,000",텐즈힐(2구역),7,140,19,84.92, , ,811,11200,9
 ,2014, , ,2020,상왕십리동,"80,000",텐즈힐(2구역),7,0,20,84.92, , ,811,11200,17
 ,2014, , ,2020,상왕십리동,"73,000",텐즈힐(2구역),7,0,25,84.93, , ,811,11200,12
 ,2014, , ,2020,상왕십리동,"50,000",텐즈힐(2구역),7,55,25,84.95, , ,811,11200,4
 ,2014, , ,2020,상왕십리동,"40,000",텐즈힐(2구역),7,140,29,84.92, , ,811,11200,16
 ,2015, , ,2020,하왕십리동,"25,000",텐즈힐(1단지),7,130,1,59.88, , ,1066,11200,12
 ,2004, , ,2020,하왕십리동,"60,000",왕십리풍림아이원,7,0,1,84.417, , ,1061,11200,13
 ,1996, , ,2020,하왕십리동,"54,000",청계벽산,7,0,1,84.94, , ,258,11200,5
 ,2014, , ,2020,하왕십리동,"5,000",블루빌,7,50,1,20.19, , ,890-446,11200,5
 ,2015, , ,2020,하왕십리동,"59,535",텐즈힐(1단지),7,0,2,84.96, , ,1066,11200,17
 ,2020, , ,2020,하왕십리동,"1,000",왕십리지음재,7,60,2,13.72, , ,966-19,11200,7
 ,2016, , ,2020,하왕십리동,"85,000",센트라스,7,0,2,84.99, , ,1070,11200,4
 ,2015, , ,2020,하왕십리동,"75,000",텐즈힐(1단지),7,0,2,84.88, , ,1066,11200,7
 ,2016, , ,2020,하왕십리동,"68,000",센트라스,7,0,2,59.95, , ,1070,11200,13
 ,2017, , ,2020,하왕십리동,"35,000",왕십리자이,7,50,3,59.99, , ,1071,11200,20
 ,2001, , ,2020,하왕십리동,"22,000",금호베스트빌,7,88,3,114.73, , ,1052,11200,14
 ,1989, , ,2020,하왕십리동,"38,000",한신무학,7,0,3,94.46, , ,990,11200,3
 ,1989, , ,2020,하왕십리동,"41,000",한신무학,7,0,4,75.2, , ,990,11200,6
 ,1989, , ,2020,하왕십리동,"41,000",한신무학,7,0,4,75.2, , ,990,11200,6
 ,2016, , ,2020,하왕십리동,"87,000",센트라스,7,0,4,84.96, , ,1070,11200,18
 ,2017, , ,2020,하왕십리동,"52,000",왕십리자이,7,0,4,51.94, , ,1071,11200,7
 ,2015, , ,2020,하왕십리동,"79,000",텐즈힐(1단지),7,0,4,84.88, , ,1066,11200,2
 ,2001, , ,2020,하왕십리동,"40,000",극동미라주,7,0,5,59.4, , ,1058,11200,17
 ,2016, , ,2020,하왕십리동,"30,000",센트라스,7,110,5,59.95, , ,1070,11200,24
 ,2015, , ,2020,하왕십리동,"85,000",텐즈힐(1단지),7,0,5,84.88, , ,1066,11200,7
 ,2017, , ,2020,하왕십리동,"62,000",왕십리자이,7,0,6,59.99, , ,1071,11200,16
 ,2017, , ,2020,하왕십리동,"62,000",왕십리자이,7,0,6,59.99, , ,1071,11200,16
 ,2015, , ,2020,하왕십리동,"75,000",텐즈힐(1단지),7,0,7,84.88, , ,1066,11200,1
 ,2015, , ,2020,하왕십리동,"75,000",텐즈힐(1단지),7,0,8,84.88, , ,1066,11200,9
 ,2016, , ,2020,하왕십리동,"50,000",센트라스,7,120,8,84.99, , ,1070,11200,8
 ,2017, , ,2020,하왕십리동,"73,000",왕십리자이,7,0,8,84.99, , ,1071,11200,14
 ,1996, , ,2020,하왕십리동,"41,000",청계벽산,7,0,9,71.33, , ,258,11200,15
 ,1989, , ,2020,하왕십리동,"45,000",한신무학,7,0,9,75.2, , ,990,11200,10
 ,2016, , ,2020,하왕십리동,"4,000",센트라스,7,130,9,40.94, , ,1070,11200,12
 ,2015, , ,2020,하왕십리동,"63,000",텐즈힐(1단지),7,0,9,59.75, , ,1066,11200,10
 ,2001, , ,2020,하왕십리동,"59,000",한진해모로,7,0,10,112.26, , ,1050,11200,17
 ,2016, , ,2020,하왕십리동,"56,000",왕십리KCC스위첸,7,0,10,59.851, , ,1002,11200,15
 ,2016, , ,2020,하왕십리동,"88,000",센트라스,7,0,10,84.98, , ,1070,11200,28
 ,2016, , ,2020,하왕십리동,"88,000",센트라스,7,0,10,84.98, , ,1070,11200,28
 ,2016, , ,2020,하왕십리동,"95,000",센트라스,7,0,10,84.77, , ,1070,11200,10
 ,2015, , ,2020,하왕십리동,"10,000",텐즈힐(1단지),7,240,11,84.96, , ,1066,11200,16
 ,2014, , ,2020,하왕십리동,"2,000",블루빌,7,60,11,20.19, , ,890-446,11200,3
 ,2017, , ,2020,하왕십리동,"70,000",왕십리자이,7,0,11,84.99, , ,1071,11200,20
 ,1996, , ,2020,하왕십리동,"60,000",청계벽산,7,0,11,114.46, , ,258,11200,6
