갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2021, ,21.08~22.11,2021,신도림동,"3,000",상림빌딩,8,114,2,21.698, , ,328-4,11530,10
 ,2021, ,21.08~22.11,2021,신도림동,"1,200",상림빌딩,8,96,2,20.9746, , ,328-4,11530,9
 ,2018, ,21.09~23.09,2021,신도림동,"18,900",신도림 아르디에,8,0,4,18.95, , ,695,11530,2
 ,2021, , ,2021,신도림동,"2,000",크라운빌Ⅱ,8,100,6,32.88, , ,419-4,11530,12
사용,2003,갱신,21.11~23.01,2021,신도림동,"52,000",대림e-편한세상5,8,0,6,84.789,"52,000", ,647,11530,6
 ,2000,신규,21.10~23.10,2021,신도림동,"58,000",동아2,8,0,6,59.595, , ,644,11530,7
사용,1999,갱신,21.08~23.08,2021,신도림동,"38,850",동아1,8,0,7,59.978,"37,000", ,643,11530,5
 ,2000, ,21.10~23.10,2021,신도림동,"40,300",동아2,8,0,7,59.595, , ,644,11530,9
사용,2011,갱신,21.10~23.08,2021,신도림동,"59,800",디큐브시티,8,0,7,59.84,"57,000", ,692,11530,5
 ,2021,신규,21.09~22.09,2021,신도림동,"2,000",크라운빌Ⅱ,8,100,7,32.88, , ,419-4,11530,11
 ,1999, ,21.10~23.10,2021,신도림동,"37,800",대림1,8,0,7,59.88, , ,642,11530,24
사용,1999,갱신,21.10~23.10,2021,신도림동,"20,000",대림1,8,86,9,84.95,"20,000",80,642,11530,4
사용,2001,갱신,21.08~23.08,2021,신도림동,"47,250",대림2,8,0,9,84.95,"45,000", ,642,11530,20
 ,2000,갱신,21.09~23.09,2021,신도림동,"48,000",동아2,8,0,9,59.595,"38,000", ,644,11530,21
 ,1999,갱신,21.08~23.08,2021,신도림동,"38,000",대림1,8,0,9,59.9,"36,000", ,642,11530,10
 ,2000,신규,21.10~23.10,2021,신도림동,"87,000",동아2,8,0,10,112.354, , ,644,11530,19
 ,2011, , ,2021,신도림동,"70,500",디큐브시티,8,0,10,84.96, , ,692,11530,14
 ,1987, , ,2021,신도림동,"33,600",미성,8,0,10,83.67, , ,290,11530,11
사용,2011,갱신,23.03~25.03,2021,신도림동,"57,330",디큐브시티,8,0,12,59.16,"54,600", ,692,11530,4
 ,1999, ,21.08~23.08,2021,신도림동,"39,900",동아1,8,0,12,59.978, , ,643,11530,7
 ,1999,갱신,21.08~23.08,2021,신도림동,"40,950",동아1,8,0,12,59.978,"39,000", ,643,11530,16
 ,2015,신규,21.09~22.09,2021,신도림동,"31,500",신도림아이파크,8,40,12,57.2934, , ,693,11530,11
 ,2000,신규,21.09~23.09,2021,신도림동,"58,000",동아3,8,0,13,60, , ,645,11530,6
 ,1987,신규,21.09~23.09,2021,신도림동,"48,000",미성,8,0,13,83.67, , ,290,11530,4
사용,2000,갱신,21.09~23.09,2021,신도림동,"40,950",동아2,8,0,13,59.595,"39,000", ,644,11530,4
 ,2000,신규,21.09~23.09,2021,신도림동,"58,000",동아3,8,0,13,60, , ,645,11530,6
 ,2000, , ,2021,신도림동,"58,000",동아3,8,0,13,60, , ,645,11530,6
 ,2001,신규,21.09~23.09,2021,신도림동,"17,000",대림2,8,110,13,59.93, , ,642,11530,13
사용,2006,갱신,21.08~23.08,2021,신도림동,"26,000",SKVIEW,8,90,13,84.96,"25,000",85,432-1,11530,7
 ,2018,신규,21.09~22.09,2021,신도림동,"10,000",신도림 아르디에,8,75,14,32.87, , ,695,11530,9
 ,1989,신규,21.09~23.08,2021,신도림동,"1,000",미성,8,60,14,37.91, , ,290,11530,10
 ,1989,신규,21.09~23.08,2021,신도림동,"1,000",미성,8,60,14,37.91, , ,290,11530,10
 ,1989,신규,21.09~23.09,2021,신도림동,"24,000",미성,8,0,14,52.45, , ,290,11530,4
 ,1987,신규,21.11~23.11,2021,신도림동,"50,000",미성,8,0,14,83.67, , ,290,11530,5
 ,2018, ,21.09~22.09,2021,신도림동,"10,000",신도림 아르디에,8,75,14,32.87, , ,695,11530,9
 ,1997,신규,21.09~23.09,2021,신도림동,"30,000",신성은하수,8,100,14,84.42, , ,640,11530,7
사용,2001,갱신,21.09~23.09,2021,신도림동,"47,250",대림2,8,0,14,84.95,"45,000", ,642,11530,5
 ,2001,갱신,21.10~23.10,2021,신도림동,"38,850",대림2,8,0,14,59.82,"37,000", ,642,11530,9
사용,2001,갱신,21.11~23.11,2021,신도림동,"30,000",대림2,8,29,14,59.93,"30,000",25,642,11530,8
사용,1999,갱신,21.08~23.08,2021,신도림동,"33,500",대림1,8,0,14,59.88,"32,000", ,642,11530,6
 ,1999, ,21.08~23.08,2021,신도림동,"33,500",대림1,8,0,14,59.88, , ,642,11530,6
 ,1994,신규,21.12~23.12,2021,신도림동,"40,950",우성5,8,0,14,79.56, , ,638,11530,5
 ,1987, , ,2021,신도림동,"60,970",미성,8,0,15,83.67, , ,290,11530,1
 ,2015, ,21.09~22.09,2021,신도림동,"31,500",신도림아이파크,8,40,16,56.3121, , ,693,11530,5
사용,2003,갱신,21.08~23.09,2021,신도림동,"80,800",대림e-편한세상4,8,0,16,117.74,"77,000", ,646,11530,15
 ,1999,갱신,21.08~23.08,2021,신도림동,"24,000",현대홈타운아파트,8,33,16,64.23,"20,000",40,641,11530,4
 ,1989,갱신,21.08~22.10,2021,신도림동,"22,000",미성,8,0,17,52.45,"19,000", ,290,11530,1
 ,1999,신규,21.10~22.10,2021,신도림동,"30,000",대림1,8,50,17,59.9, , ,642,11530,14
 ,1999,신규,21.11~23.11,2021,신도림동,"30,000",동아1,8,0,18,84.908, , ,643,11530,2
