갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2012,신규,22.04~24.04,2022,중곡동,"1,000",욱현하이브Ⅲ,4,60,8,15.69, , ,699,11215,6
 ,2012,신규,22.05~24.05,2022,중곡동,"3,000",욱현하이브Ⅲ,4,45,11,15.69, , ,699,11215,5
 ,2012,신규,22.05~24.05,2022,중곡동,"8,820",타워캐슬,4,0,18,12.62, , ,698,11215,2
 ,2012,신규,22.05~24.05,2022,중곡동,"14,000",욱현하이브Ⅲ,4,0,23,17.71, , ,699,11215,4
 ,2012,갱신,22.04~24.04,2022,중곡동,"2,000",타워캐슬,4,45,26,13.4,"2,000",45,698,11215,3
 ,1998,신규,22.07~24.07,2022,중곡동,"48,000",성원,4,0,30,84.98, , ,681,11215,22
 ,2021, , ,2022,능동,"27,000",이듬빌,4,0,26,25.57, , ,246-17,11215,4
 ,2021,신규,22.06~24.06,2022,구의동,"89,500",e편한세상광진그랜드파크,4,0,1,84.9839, , ,680,11215,16
 ,2021,신규,22.06~24.06,2022,구의동,"89,500",e편한세상광진그랜드파크,4,0,1,84.9839, , ,680,11215,16
 ,2018,신규,22.04~24.04,2022,구의동,"50,000",래미안파크스위트,4,90,1,59.98, , ,668,11215,15
 ,2018, , ,2022,구의동,"50,000",래미안파크스위트,4,90,1,59.98, , ,668,11215,15
 ,2018, ,22.04~24.04,2022,구의동,"5,000",래미안파크스위트,4,90,1,59.98, , ,668,11215,15
 ,2018,신규,22.06~24.06,2022,구의동,"50,000",래미안파크스위트,4,170,2,102.88, , ,668,11215,3
 ,2018,신규,22.04~24.04,2022,구의동,"20,000",래미안파크스위트,4,154,2,59.98, , ,668,11215,9
 ,1992,갱신,22.04~24.04,2022,구의동,"5,000",구의강변우성아파트,4,150,2,84.76,"5,000",150,546-7,11215,8
 ,2001, , ,2022,구의동,"34,650",욱현(208-1),4,0,2,80.61, , ,208-1,11215,3
사용,2001,갱신,22.05~24.05,2022,구의동,"34,650",욱현(208-1),4,0,2,80.61,"34,650", ,208-1,11215,3
 ,1997,갱신,22.05~24.05,2022,구의동,"3,000",현대프라임,4,145,2,59.82,"3,000",120,631-1,11215,6
 ,1997,신규,22.05~24.05,2022,구의동,"49,000",구의현대7단지현대홈타운,4,30,2,84.99, , ,587-54,11215,7
사용,1994,갱신,22.04~24.04,2022,구의동,"57,750",구의현대6단지,4,0,2,84.92,"55,000", ,610,11215,7
사용,1996,갱신,22.04~24.04,2022,구의동,"26,250",구의현대2단지,4,79,2,84.91,"25,000",75,611,11215,19
 ,2021,신규,22.06~24.06,2022,구의동,"120,000",e편한세상광진그랜드파크,4,0,2,115.9979, , ,680,11215,6
 ,2018, ,22.04~23.05,2022,구의동,"80,000",래미안파크스위트,4,0,3,84.98, , ,668,11215,12
 ,2021,신규,22.04~22.11,2022,구의동,"80,000",e편한세상광진그랜드파크,4,165,3,115.9824, , ,680,11215,15
 ,2013,신규,22.05~24.05,2022,구의동,"10,000",스위트빌(71-1),4,0,4,15.42, , ,71-1,11215,5
 ,2000,신규,22.05~24.05,2022,구의동,"38,000",대성빌라트(552-6),4,0,4,81.69, , ,552-6,11215,2
 ,1997, ,22.04~23.04,2022,구의동,"10,000",현대프라임,4,170,4,84.99, , ,631-1,11215,28
사용,2001,갱신,22.04~23.10,2022,구의동,"52,000",성동강변파크빌101(강변타워),4,7,5,84.51,"52,000", ,657,11215,5
