갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2013, , ,2021,가산동,"12,500",가산양우내안에애플,5,0,1,12.04, , ,141-2,11545,16
 ,1998, , ,2021,가산동,"50,000",두산,5,0,3,84.9, , ,769,11545,11
 ,2013, , ,2021,가산동,"3,000",가산지웰에스테이트,5,40,4,16.26, , ,140-9,11545,15
 ,2017, , ,2021,가산동,"12,000",가산피어니빌,5,0,4,13.8029, , ,143-20,11545,6
 ,2013, , ,2021,가산동,"12,000",가산양우내안에애플,5,0,5,12.04, , ,141-2,11545,9
 ,2014, , ,2021,가산동,"12,500",비즈트위트바이올렛5차,5,0,6,12.19, , ,140-36,11545,15
 ,2013, , ,2021,가산동,"1,000",가산지웰에스테이트,5,50,6,15.96, , ,140-9,11545,10
 ,2018, , ,2021,가산동,"14,000",가산지웰에스테이트2차,5,0,7,14.12, , ,143-6,11545,12
 ,2014, , ,2021,가산동,"13,000",비즈트위트바이올렛5차,5,0,7,13.34, , ,140-36,11545,8
 ,2014, , ,2021,가산동,"10,500",비즈트위트바이올렛5차,5,18,8,18.47, , ,140-36,11545,13
 ,1998, , ,2021,가산동,"28,000",두산,5,0,10,59.84, , ,769,11545,9
 ,2014, , ,2021,가산동,"12,300",비즈트위트바이올렛5차,5,0,14,12.19, , ,140-36,11545,13
 ,1998, , ,2021,가산동,"28,000",주상복합두산,5,0,15,59.25, , ,772,11545,8
 ,2013, , ,2021,가산동,"11,550",가산양우내안에애플,5,0,18,12.04, , ,141-2,11545,16
 ,2014, , ,2021,가산동,"12,500",비즈트위트바이올렛5차,5,0,19,12.19, , ,140-36,11545,14
 ,2013, , ,2021,가산동,500,가산양우내안에애플,5,45,20,12.04, , ,141-2,11545,12
 ,2018, , ,2021,가산동,"12,600",가산지웰에스테이트2차,5,0,20,14.12, , ,143-6,11545,10
 ,2017, , ,2021,가산동,"1,000",씨앤에스타워,5,75,20,23.47, , ,777,11545,3
 ,2013, ,21.06~22.06,2021,가산동,200,가산지웰에스테이트,5,47,21,15.09, , ,140-9,11545,12
 ,1998, , ,2021,가산동,"31,500",두산,5,0,21,84.9, , ,769,11545,12
 ,1998, ,21.06~23.06,2021,가산동,"26,250",두산,5,0,22,59.84, , ,769,11545,11
 ,2014, , ,2021,가산동,500,비즈트위트바이올렛5차,5,50,25,12.19, , ,140-36,11545,14
 ,1998, , ,2021,가산동,"50,000",두산,5,0,25,84.9, , ,769,11545,21
 ,2013, , ,2021,가산동,"2,000",가산지웰에스테이트,5,40,27,12.13, , ,140-9,11545,7
 ,1998, ,21.07~23.07,2021,가산동,"36,750",두산,5,0,28,101.67, , ,769,11545,8
 ,1998, ,21.07~23.07,2021,가산동,"13,000",삼익,5,0,28,59.94, , ,234-46,11545,1
 ,2014, , ,2021,가산동,"12,280",비즈트위트바이올렛5차,5,0,29,12.19, , ,140-36,11545,15
 ,1996, , ,2021,독산동,"10,000",라이프,5,70,1,84.74, , ,1131,11545,1
 ,2002, , ,2021,독산동,"32,000",금천현대,5,0,1,59.82, , ,711-2,11545,5
 ,2021, , ,2021,독산동,"22,000",독산역롯데캐슬,5,72,1,84.9416, , ,1160,11545,34
 ,2019, , ,2021,독산동,"15,000",e편한세상독산더타워,5,100,2,59.8637, , ,1007-13,11545,35
 ,2002, ,21.08~23.08,2021,독산동,"23,000",대덕트윈빌,5,0,2,59.56, , ,1028,11545,1
 ,2021, , ,2021,독산동,"26,000",독산역롯데캐슬,5,55,3,84.8665, , ,1160,11545,1
