갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
사용,2004,갱신, ,2022,방배동,"20,000",래미안방배아트힐(1008-2),6,224,1,127.31,"20,000",210,1008-2,11650,4
사용,1996,갱신,22.07~24.07,2022,방배동,"80,000",월드빌라트(798-5),6,270,1,201.71,"80,000",250,798-5,11650,1
사용,2001,갱신,22.07~24.07,2022,방배동,"30,000",방배2차현대홈타운,6,88,1,59.86,"30,000",80,2001,11650,12
사용,2013,갱신, ,2022,방배동,"80,850",롯데캐슬아르떼,6,0,2,59.9742,"77,000", ,424-28,11650,6
 ,2002,신규,22.07~24.07,2022,방배동,"65,000",방배홈타운(479-11),6,100,2,113.67, , ,479-11,11650,3
 ,2001,갱신,22.06~24.06,2022,방배동,"8,000",방배2차현대홈타운,6,265,3,147.26,"8,000",250,2001,11650,14
 ,1999,갱신,22.07~24.07,2022,방배동,"55,000",방배1차현대홈타운,6,25,3,59.94,"53,000", ,1344,11650,2
 ,2002,갱신,22.06~24.06,2022,방배동,"77,000",갤러리하우스,6,0,4,92.4,"73,000", ,12-60,11650,2
 ,2021,신규,22.06~24.06,2022,방배동,"60,000",방배그랑자이,6,180,4,59.9609, , ,3283,11650,9
 ,2021,신규,22.07~24.07,2022,방배동,"158,000",방배그랑자이,6,0,4,84.972, , ,3283,11650,8
 ,2003,신규,22.08~24.08,2022,방배동,"60,000",삼환나띠르빌(1002-10),6,100,4,92.93, , ,1002-10,11650,2
 ,1988,신규,22.07~24.07,2022,방배동,"10,000",방배임광,6,100,4,51.84, , ,1010-1,11650,4
 ,1983,신규,22.08~24.08,2022,방배동,"145,000",방배신삼호,6,0,4,185.46, , ,725,11650,2
 ,1998, , ,2022,방배동,"55,650",삼호한숲,6,0,4,59.98, , ,1030-1,11650,6
 ,1992, , ,2022,방배동,"68,250",대우(효령),6,0,4,84.91, , ,1038,11650,7
