갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
사용,1976,갱신,22.03~24.03,2022,방배동,"81,900",삼호3,3,0,1,181.6,"78,000", ,757-3,11650,10
 ,1975,갱신, ,2022,방배동,"49,000",삼호1동~3동,3,0,1,81.39,"29,000", ,770-1,11650,6
 ,1985,신규,22.05~24.05,2022,방배동,"120,000",임광,3,0,1,136.38, , ,1015,11650,11
 ,1981,신규,22.04~23.08,2022,방배동,"50,000",신동아,3,140,1,139.74, , ,988-1,11650,4
 ,1981,갱신,22.03~24.03,2022,방배동,"84,000",신동아,3,0,2,139.74,"80,000", ,988-1,11650,1
 ,2002,신규,22.03~24.03,2022,방배동,"300,000",대우로얄빌라트(1027-1),3,0,2,244.34, , ,1027-1,11650,10
 ,2004,신규,22.04~24.04,2022,방배동,"150,000",동부센트레빌,3,100,3,134.04, , ,3275,11650,9
 ,2004,신규,22.03~24.03,2022,방배동,"50,000",한신트리플,3,0,3,61.16, , ,816-1,11650,4
 ,2004,신규,22.03~24.03,2022,방배동,"50,000",한신트리플,3,0,3,61.16, , ,816-1,11650,4
 ,1985,신규,22.03~24.03,2022,방배동,"30,000",임광,3,140,3,84.78, , ,1015,11650,1
 ,1985,신규,22.03~24.03,2022,방배동,"30,000",임광,3,140,3,84.78, , ,1015,11650,1
사용,1983,갱신,22.03~24.03,2022,방배동,"45,000",방배신삼호,3,90,3,105.04,"45,000",80,725,11650,11
 ,1991,신규,22.04~24.03,2022,방배동,"10,000",방배우성,3,166,4,80.2, , ,2525,11650,8
 ,2019,신규,22.04~24.04,2022,방배동,"110,000",방배 서리풀 그랑블,3,0,4,84.9969, , ,3279,11650,3
 ,2004,갱신,22.03~24.03,2022,방배동,"2,000",한신트리플,3,100,4,43.93,"2,000",100,816-1,11650,9
사용,2005,갱신,22.03~24.03,2022,방배동,"25,200",방배대우디오빌,3,0,4,29.6,"24,000", ,866-20,11650,9
 ,2007,신규,22.04~24.04,2022,방배동,"40,000",방배아크로타워,3,80,5,65.11, , ,923-6,11650,9
사용,2010,갱신,22.04~24.04,2022,방배동,"78,750",서리풀e편한세상,3,0,5,59.97,"75,000", ,906-13,11650,3
 ,2013,갱신, ,2022,방배동,"50,000",롯데캐슬아르떼,3,170,5,59.9742,"40,000",140,424-28,11650,3
 ,2003,신규,22.04~24.04,2022,방배동,"85,000",삼성래미안1,3,0,5,84.91, , ,2626,11650,2
 ,2003, , ,2022,방배동,"85,000",삼성래미안1,3,0,5,84.91, , ,2626,11650,2
 ,2003,신규,22.05~24.05,2022,방배동,"48,000",예림,3,0,5,67.56, , ,432-10,11650,3
 ,2005,신규,22.06~24.06,2022,방배동,"90,000",방배래미안타워,3,75,5,102.93, , ,485-3,11650,13
 ,2005,신규,22.06~24.06,2022,방배동,"90,000",방배래미안타워,3,75,5,102.93, , ,485-3,11650,13
 ,2006, , ,2022,방배동,"52,500",디오수페리움2,3,0,5,45.34, , ,3001-1,11650,11
사용,1975,갱신,22.03~24.03,2022,방배동,"50,000",삼호1동~3동,3,7,5,116.96,"50,000", ,770-1,11650,1
 ,1981,갱신,22.03~24.03,2022,방배동,"90,500",신동아,3,0,5,139.74,"87,500", ,988-1,11650,13
 ,1991,신규,22.04~24.04,2022,방배동,"49,000",방배우성,3,40,5,84.95, , ,2525,11650,10
 ,1991, , ,2022,방배동,"49,000",방배우성,3,40,5,84.95, , ,2525,11650,10
 ,2005,신규,22.05~24.05,2022,방배동,"75,000",방배래미안타워,3,110,6,103.34, , ,485-3,11650,11
 ,2004,신규,22.03~24.03,2022,방배동,"50,000",방배대우멤버스카운티301,3,280,7,121.65, , ,841-12,11650,3
 ,1975,갱신,22.04~22.07,2022,방배동,"65,000",삼호1동~3동,3,0,7,116.13,"65,000", ,770-1,11650,12
사용,1998,갱신, ,2022,방배동,"65,000",삼호한숲,3,0,7,84.87,"62,000", ,1030-1,11650,1
 ,2006,갱신,22.04~24.04,2022,방배동,"70,000",방배브라운가,3,0,7,84.94,"64,000", ,930-1,11650,3
 ,2005,신규,22.04~24.04,2022,방배동,"3,000",방배대우디오빌,3,71,7,28.84, , ,866-20,11650,6
 ,2005,신규,22.03~23.03,2022,방배동,"1,000",방배대우디오빌,3,90,7,28.84, , ,866-20,11650,5
 ,2003,갱신,22.03~24.03,2022,방배동,"50,000",삼환나띠르빌(1002-8),3,90,8,84.98,"50,000",80,1002-8,11650,3
 ,2018,신규,22.05~24.05,2022,방배동,"10,000",자현유하우스,3,220,8,46.25, , ,940-4,11650,3
 ,2004,신규,22.08~24.08,2022,방배동,"100,000",방배대우멤버스카운티502,3,300,9,172.97, , ,801-5,11650,1
 ,2004,신규,22.07~24.07,2022,방배동,"150,000",래미안방배아트힐(1008-2),3,105,9,127.61, , ,1008-2,11650,4
 ,2005,신규,22.04~24.04,2022,방배동,"10,000",방배대우디오빌,3,50,9,28.84, , ,866-20,11650,14
 ,1992,신규,22.05~24.05,2022,방배동,"63,000",방배대우(562-1),3,0,9,84.91, , ,562-1,11650,2
 ,2004,신규,22.08~24.08,2022,방배동,"100,000",방배대우멤버스카운티502,3,300,9,172.97, , ,801-5,11650,1
 ,2017,신규,22.04~24.04,2022,방배동,"77,000",서초훼미리하우스,3,0,9,59.49, , ,917-4,11650,4
 ,1991,신규,22.04~24.04,2022,방배동,"65,000",방배우성,3,0,9,80.2, , ,2525,11650,11
 ,1991, , ,2022,방배동,"65,000",방배우성,3,0,9,80.2, , ,2525,11650,11
사용,1985,갱신,22.05~23.12,2022,방배동,"84,000",임광,3,0,9,136.38,"80,000", ,1015,11650,11
 ,2001,신규,22.04~24.04,2022,방배동,"60,000",청광아트빌(14차),3,780,10,244.84, , ,482-4,11650,11
 ,2019,갱신,22.06~24.06,2022,방배동,"80,000",방배 서리풀 그랑블,3,52,10,84.9969,"80,000",40,3279,11650,1
 ,1991,신규,22.05~24.05,2022,방배동,"20,000",방배우성,3,150,10,80.2, , ,2525,11650,9
 ,2013,신규,22.07~24.07,2022,방배동,"140,000",롯데캐슬아르떼,3,0,10,84.9145, , ,424-28,11650,12
사용,2005,갱신,22.04~24.04,2022,방배동,"89,250",브라운스톤방배,3,0,10,84.96,"85,000", ,899-16,11650,7
 ,2020,갱신,22.05~24.05,2022,방배동,"87,500",서리풀프라젠아파트,3,0,10,78.69,"72,500", ,3281,11650,4
 ,2003,신규,22.05~24.05,2022,방배동,"92,000",삼성래미안1,3,0,11,84.91, , ,2626,11650,4
 ,1985,신규,22.03~23.03,2022,방배동,"115,000",임광,3,0,11,136.38, , ,1015,11650,6
 ,2019,갱신,22.03~24.03,2022,방배동,"52,500",방배마에스트로,3,0,11,34.59,"50,000", ,866-10,11650,9
사용,2004,갱신, ,2022,방배동,"10,000",오리엔트빌,3,410,11,179.6,"10,000",400,801-9,11650,4
 ,1992,신규,22.06~24.06,2022,방배동,"90,000",대우(효령),3,0,11,84.91, , ,1038,11650,5
 ,1982,신규,22.03~22.08,2022,방배동,"5,000",삼익,3,70,11,89.12, , ,1018-1,11650,9
사용,2017,갱신,22.04~24.04,2022,방배동,"68,250",서초훼미리하우스,3,0,12,59.49,"65,000", ,917-4,11650,10
 ,1975,신규,22.05~24.05,2022,방배동,"20,000",삼호1동~3동,3,155,12,81.39, , ,770-1,11650,6
 ,1999,신규,22.04~24.04,2022,방배동,"40,000",방배1차현대홈타운,3,80,12,59.94, , ,1344,11650,2
사용,1975,갱신,22.05~24.05,2022,방배동,"35,700",삼호1동~3동,3,0,12,81.39,"34,000", ,770-1,11650,12
 ,2006,신규,22.04~24.04,2022,방배동,"270,000",방배3차e-편한세상,3,0,12,198.5315, , ,797-30,11650,15
 ,2006,갱신,22.03~24.05,2022,방배동,"124,000",세양아르비채101동,3,0,12,191.669,"99,000", ,421-1,11650,6
 ,2004,신규,22.04~24.04,2022,방배동,"58,200",방배아크로리버,3,200,12,149.225, , ,752-36,11650,20
사용,2003,갱신,22.05~24.05,2022,방배동,"43,000",방배타운하우스,3,0,12,78.86,"41,000", ,790-26,11650,3
사용,2004,갱신,22.03~24.03,2022,방배동,"28,350",한신트리플,3,0,12,39.31,"27,000", ,816-1,11650,10
 ,2006,신규,22.05~24.05,2022,방배동,"75,000",방배브라운가,3,60,12,84.94, , ,930-1,11650,6
 ,2006, , ,2022,방배동,"75,000",방배브라운가,3,0,12,84.94, , ,930-1,11650,6
사용,2002,갱신,22.04~24.04,2022,방배동,"54,600",방배리치빌,3,0,13,95.79,"52,000", ,474-9,11650,5
 ,2006, , ,2022,방배동,"10,000",롯데캐슬헤론,3,260,13,124.27, , ,754-1,11650,5
 ,2006,갱신,22.03~24.03,2022,방배동,"10,000",롯데캐슬헤론,3,260,13,124.27,"10,000",260,754-1,11650,5
사용,2002,갱신,22.03~24.03,2022,방배동,"55,650",서초이에스에이3차,3,0,14,59.4,"53,000", ,1006-1,11650,6
 ,2001,신규,22.03~24.03,2022,방배동,"20,000",포렛빌,3,"1,100",14,233.04, , ,845-5,11650,5
사용,2005,갱신,22.08~24.08,2022,방배동,"80,800",방배래미안타워,3,0,15,103.34,"77,000", ,485-3,11650,22
 ,2006,신규,22.04~24.04,2022,방배동,"20,000",롯데캐슬헤론,3,480,15,169.08, , ,754-1,11650,27
 ,2019,갱신,22.06~24.05,2022,방배동,"98,000",방배 서리풀 그랑블,3,0,15,84.9969,"85,000", ,3279,11650,2
 ,2005,신규,22.03~24.03,2022,방배동,"11,000",방배대우디오빌,3,45,15,29.6, , ,866-20,11650,20
사용,2018,갱신,22.03~24.03,2022,방배동,"110,250",방배아트자이,3,0,15,84.9383,"105,000", ,3278,11650,10
 ,2003,신규,22.04~24.04,2022,방배동,"38,000",아이리스,3,0,15,56.3, , ,1021-9,11650,4
 ,1976,갱신,22.06~24.06,2022,방배동,"99,000",삼호2,3,0,16,127.94,"75,000", ,758-4,11650,8
사용,1999,갱신,22.03~24.03,2022,방배동,"56,700",방배1차현대홈타운,3,0,16,59.94,"54,000", ,1344,11650,1
 ,1988,신규,22.06~24.06,2022,방배동,"85,000",방배임광,3,30,16,100.82, , ,1010-1,11650,2
 ,2013,신규, ,2022,방배동,"54,022",롯데캐슬아르떼,3,0,16,59.9742, , ,424-28,11650,1
 ,2018,신규,22.05~24.05,2022,방배동,"50,400",자현유하우스,3,0,16,41.74, , ,940-4,11650,5
사용,2005,갱신,22.03~24.03,2022,방배동,"52,500",카사벨라(939-9),3,0,17,104.45,"50,000", ,939-9,11650,1
 ,2005,신규,22.03~24.03,2022,방배동,"37,000",방배대우디오빌,3,0,17,36.63, , ,866-20,11650,3
