갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,1976, ,21.08~23.08,2021,중곡동,"3,000",중곡2단지,6,30,8,55.87, , ,190-26,11215,4
 ,2012,신규,21.07~23.07,2021,중곡동,"1,000",욱현하이브Ⅲ,6,50,12,15.69, , ,699,11215,4
 ,1999,갱신,21.07~22.03,2021,중곡동,"30,000",에스케이,6,0,18,58.43,"26,000", ,292,11215,1
 ,1976,신규,21.09~23.09,2021,중곡동,"6,000",중곡2단지,6,65,22,55.87, , ,190-26,11215,3
 ,2002,신규,21.06~23.06,2021,중곡동,"3,000",광남캐스빌3차,6,80,23,57.37, , ,646-10,11215,6
 ,2002,신규,21.06~23.06,2021,중곡동,"3,000",광남캐스빌3차,6,80,23,57.37, , ,646-10,11215,6
 ,1976,신규,21.07~23.07,2021,중곡동,"2,000",중곡1단지,6,60,28,57.88, , ,191-77,11215,3
 ,1994,신규,21.07~23.07,2021,구의동,"65,000",구의현대6단지,6,20,2,84.92, , ,610,11215,10
 ,1997,신규,21.08~23.08,2021,구의동,"74,500",구의현대7단지현대홈타운,6,0,3,84.99, , ,587-54,11215,14
 ,2009,신규,21.09~23.09,2021,구의동,"20,000",아차산한라아파트,6,60,4,60.39, , ,662,11215,6
 ,2004,신규,21.08~23.08,2021,구의동,"110,000",아크로리버,6,0,4,132.0263, , ,589-10,11215,19
 ,1996,신규,21.08~23.08,2021,구의동,"87,000",구의현대2단지,6,0,4,84.91, , ,611,11215,23
 ,2004, , ,2021,구의동,"78,700",아크로리버,6,0,4,132.0263, , ,589-10,11215,17
 ,2017,신규,21.08~23.08,2021,구의동,"90,000",강변에스케이뷰,6,0,5,84.9, , ,667,11215,19
 ,2018,신규,21.09~23.09,2021,구의동,"102,000",래미안파크스위트,6,0,5,84.98, , ,668,11215,4
 ,1997,신규,21.07~23.07,2021,구의동,"50,000",구의현대7단지현대홈타운,6,50,5,84.99, , ,587-54,11215,5
사용,1997,갱신,21.06~23.06,2021,구의동,"44,100",현대프라임,6,0,7,59.82,"42,000", ,631-1,11215,9
 ,1997, , ,2021,구의동,"58,000",현대프라임,6,0,7,59.82, , ,631-1,11215,20
 ,1996,갱신,21.06~22.02,2021,구의동,"40,000",구의현대2단지,6,100,7,84.91,"30,000",75,611,11215,7
 ,2010,신규,21.07~23.07,2021,구의동,"42,000",아차산포레안,6,80,8,84.68, , ,663,11215,2
 ,1997, , ,2021,구의동,"45,100",현대프라임,6,0,8,59.82, , ,631-1,11215,3
 ,2010, , ,2021,구의동,"42,000",아차산포레안,6,80,8,84.68, , ,663,11215,2
 ,1997, ,21.06~23.09,2021,구의동,"51,450",구의현대7단지현대홈타운,6,0,9,84.99, , ,587-54,11215,8
사용,1996,갱신,21.07~23.07,2021,구의동,"50,400",구의현대2단지,6,0,9,84.86,"48,000", ,611,11215,1
사용,1997,갱신,21.08~23.08,2021,구의동,"57,000",현대프라임,6,0,9,84.99,"57,000", ,631-1,11215,23
사용,1992,갱신,21.06~23.06,2021,구의동,"45,000",구의강변우성아파트,6,0,9,84.76,"43,000", ,546-7,11215,1
 ,1997, ,21.08~23.08,2021,구의동,"57,000",현대프라임,6,0,9,84.99, , ,631-1,11215,23
 ,1994,신규,21.08~23.08,2021,구의동,"80,000",구의현대6단지,6,0,11,84.92, , ,610,11215,13
사용,1997,갱신,21.06~23.06,2021,구의동,"5,000",구의현대7단지현대홈타운,6,148,11,84.99,"5,000",140,587-54,11215,9
 ,2006,신규,21.09~23.09,2021,구의동,"25,000",데쟈뷰아파트,6,0,11,49.13, , ,45-11,11215,4
사용,1997,갱신,21.07~23.07,2021,구의동,"42,000",현대프라임,6,0,12,59.82,"40,000", ,631-1,11215,1
 ,1997, , ,2021,구의동,"41,000",현대프라임,6,5,12,59.82, , ,631-1,11215,2
 ,2004,신규,21.09~23.09,2021,구의동,"50,000",강변아파트,6,0,14,96.6, , ,198-5,11215,8
사용,1997,갱신,21.07~23.07,2021,구의동,"42,000",현대프라임,6,0,15,59.82,"40,000", ,631-1,11215,11
 ,2014,갱신,21.08~23.08,2021,구의동,"28,350",AZ0213,6,0,15,42.97,"27,000", ,252-9,11215,7
 ,1997,갱신,22.08~25.02,2021,구의동,"86,100",현대프라임,6,0,16,183.87,"82,000", ,631-1,11215,21
 ,2015,신규,21.07~23.07,2021,구의동,"17,800",강변힐하우스,6,0,16,20.97, , ,596-1,11215,6
사용,2004,갱신,21.06~23.06,2021,구의동,"42,000",대영(1동),6,0,16,82.51,"40,000", ,254-123,11215,5
 ,2000,신규,21.08~23.08,2021,구의동,"74,500",새한,6,0,16,84.91, , ,656,11215,3
 ,1996,신규,21.09~23.09,2021,구의동,"88,000",구의현대2단지,6,0,16,84.91, , ,611,11215,12
사용,1997,갱신,21.06~23.06,2021,구의동,"42,000",현대프라임,6,0,17,59.82,"40,000", ,631-1,11215,22
 ,1997,신규,21.09~23.09,2021,구의동,"85,000",현대프라임,6,0,17,84.99, , ,631-1,11215,11
 ,2001, ,21.09~23.09,2021,구의동,"85,000",삼성쉐르빌,6,70,17,132.77, , ,199-18,11215,19
 ,1997, , ,2021,구의동,"10,000",현대프라임,6,130,17,59.82, , ,631-1,11215,7
 ,1997,신규,21.09~23.09,2021,구의동,"85,000",현대프라임,6,0,17,84.99, , ,631-1,11215,11
 ,2018, , ,2021,구의동,"79,000",래미안파크스위트,6,0,18,59.98, , ,668,11215,8
 ,2018,신규,21.07~23.07,2021,구의동,"79,000",래미안파크스위트,6,0,18,59.98, , ,668,11215,8
 ,2018,신규,21.10~23.10,2021,구의동,"80,000",래미안파크스위트,6,0,19,59.98, , ,668,11215,3
 ,2018, ,21.10~23.10,2021,구의동,"80,000",래미안파크스위트,6,0,19,59.98, , ,668,11215,3
 ,1996,갱신,22.02~23.02,2021,구의동,"80,000",구의현대2단지,6,0,21,84.91,"70,000", ,611,11215,11
 ,2021,신규,21.08~23.08,2021,구의동,"75,000",구의자이르네,6,0,22,59.7912, , ,671,11215,11
 ,1997,신규,21.06~23.06,2021,구의동,"39,900",구의현대7단지현대홈타운,6,0,22,59.97, , ,587-54,11215,5
사용,1996,갱신,21.07~23.07,2021,구의동,"15,000",구의현대2단지,6,116,22,84.75,"25,000",90,611,11215,21
 ,2020,신규,21.08~23.08,2021,구의동,"23,000",광진파크프라이빗,6,30,25,48.66, , ,670,11215,2
 ,1997,신규,21.08~23.08,2021,구의동,"58,000",현대프라임,6,0,25,59.82, , ,631-1,11215,17
사용,1994,갱신,21.07~22.12,2021,구의동,"50,000",구의현대6단지,6,0,26,84.92,"50,000", ,610,11215,9
 ,1996,갱신,21.06~23.06,2021,구의동,"20,000",구의현대2단지,6,120,26,84.91,"20,000",105,611,11215,8
 ,2013,신규,21.06~22.06,2021,구의동,"1,000",스위트빌(71-1),6,50,26,16.25, , ,71-1,11215,5
 ,1997, , ,2021,구의동,"62,000",현대프라임,6,0,26,59.82, , ,631-1,11215,23
 ,2004,신규,21.07~23.06,2021,구의동,"100,000",아크로리버,6,0,27,164.7228, , ,589-10,11215,13
사용,1997,갱신, ,2021,구의동,"45,150",현대프라임,6,0,28,59.82,"43,000", ,631-1,11215,4
사용,2009,갱신,21.09~23.09,2021,구의동,"70,350",광진해모로리버뷰,6,0,29,106.9,"67,000", ,547-7,11215,13
 ,2010,갱신,21.10~23.10,2021,구의동,"65,000",아차산포레안,6,0,29,84.68,"45,000", ,663,11215,1
 ,2018,신규,21.07~23.07,2021,구의동,"15,000",래미안파크스위트,6,166,30,75.82, , ,668,11215,7
 ,1996,신규,21.09~23.09,2021,구의동,"55,000",구의현대2단지,6,90,30,84.91, , ,611,11215,18
 ,1997,갱신,21.08~23.08,2021,구의동,"5,000",현대프라임,6,105,30,59.82,"5,000",100,631-1,11215,27
 ,1996,신규,21.09~23.09,2021,구의동,"55,000",구의현대2단지,6,90,30,84.91, , ,611,11215,18
사용,1989,갱신, ,2021,광장동,"45,000",극동2,6,0,1,75.55,"43,000", ,218-1,11215,12
사용,1996,갱신, ,2021,광장동,"49,000",광나루현대,6,0,1,84.92,"49,000", ,567,11215,18
 ,1996, ,21.07~23.07,2021,광장동,"60,000",청구,6,0,2,59.95, , ,566,11215,19
