갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,1971,신규,21.11~23.11,2021,성북동,"2,000",성북,10,65,29,37.36, , ,348-3,11290,1
 ,1998,갱신,21.12~24.04,2021,돈암동,"70,000",한진(609-1),10,0,1,132.96,"50,000", ,609-1,11290,4
사용,1998,갱신,21.11~23.11,2021,돈암동,"37,800",한진(609-1),10,0,1,84.87,"36,000", ,609-1,11290,6
 ,1999, ,21.10~23.10,2021,돈암동,"42,500",돈암동 풍림아파트 101~105동,10,0,1,114.41, , ,632,11290,2
 ,1998,신규,22.01~24.01,2021,돈암동,"62,000",한신,10,0,1,84.87, , ,609-1,11290,4
 ,1998, ,21.11~23.11,2021,돈암동,"37,800",한진(609-1),10,0,1,84.87, , ,609-1,11290,6
사용,1998,갱신,21.12~23.12,2021,돈암동,"46,200",한진(609-1),10,0,1,113.67,"44,000", ,609-1,11290,16
 ,2004,신규,21.11~23.11,2021,돈암동,"35,000",이수브라운스톤돈암,10,40,2,59.99, , ,636,11290,3
 ,1998,신규,21.12~23.12,2021,돈암동,"30,000",한진(609-1),10,100,2,84.87, , ,609-1,11290,13
 ,2003, ,21.10~23.10,2021,돈암동,"39,900",동부센트레빌,10,0,2,80.54, , ,633,11290,6
 ,2004,신규,21.12~23.12,2021,돈암동,"35,000",이수브라운스톤돈암,10,65,2,59.99, , ,636,11290,5
 ,2004,신규,21.12~23.12,2021,돈암동,"35,000",이수브라운스톤돈암,10,65,2,59.99, , ,636,11290,5
 ,1999,신규,21.12~23.12,2021,돈암동,"50,000",돈암동삼성,10,0,2,59.4, , ,15-1,11290,8
사용,1991,갱신,21.11~23.11,2021,돈암동,"18,900",돈암현대아파트,10,0,2,41.58,"18,000", ,1,11290,10
 ,1999, ,21.12~22.12,2021,돈암동,"31,500",돈암동삼성,10,0,3,59.4, , ,15-1,11290,4
 ,1999,신규,21.11~23.11,2021,돈암동,"45,000",돈암동삼성,10,0,4,59.4, , ,15-1,11290,3
사용,1998,갱신,21.12~23.12,2021,돈암동,"6,000",한신,10,173,5,132.96,"6,000",165,609-1,11290,14
사용,1998,갱신,21.10~23.10,2021,돈암동,"52,500",한신,10,0,5,132.96,"50,000", ,609-1,11290,9
 ,1998,신규,21.11~23.11,2021,돈암동,"45,000",한신,10,0,5,68.13, , ,609-1,11290,10
 ,1998, , ,2021,돈암동,"1,606",한진임대아파트(301동)(609-1),10,0,5,32.49, , ,609-1,11290,3
 ,1991,신규,21.12~23.12,2021,돈암동,"1,000",돈암현대아파트,10,75,6,41.58, , ,1,11290,12
 ,2004, , ,2021,돈암동,"37,800",이수브라운스톤돈암,10,0,7,59.99, , ,636,11290,3
 ,2016, ,21.10~23.10,2021,돈암동,"60,900",돈암코오롱하늘채,10,0,7,84.869, , ,644,11290,12
사용,1998,갱신,21.11~23.11,2021,돈암동,"38,800",한진(609-1),10,0,8,84.87,"37,000", ,609-1,11290,10
사용,1998,갱신,21.12~23.12,2021,돈암동,"11,550",한진(609-1),10,53,8,59.58,"11,000",50,609-1,11290,13
 ,1998,신규,21.11~23.11,2021,돈암동,"80,000",한신,10,0,9,113.67, , ,609-1,11290,10
 ,1998,신규,21.12~23.12,2021,돈암동,"1,000",한신,10,155,9,68.13, , ,609-1,11290,9
 ,1998, , ,2021,돈암동,"80,000",한신,10,0,9,113.67, , ,609-1,11290,10
 ,1999, , ,2021,돈암동,"5,000",돈암동삼성,10,126,9,84.59, , ,15-1,11290,2
