갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,1984,갱신,22.06~24.06,2022,명일동,"46,000",삼익가든,5,0,1,71.2,"36,000", ,270,11740,7
 ,1985,신규,22.05~24.05,2022,명일동,"55,000",고덕주공9,5,0,2,83.52, , ,257,11740,1
사용,1983,갱신,22.05~24.05,2022,명일동,"28,350",삼익그린2차,5,0,2,54.81,"27,000", ,15,11740,9
사용,1985,갱신,22.07~24.07,2022,명일동,"37,000",고덕주공9,5,5,3,83.93,"37,000", ,257,11740,5
 ,1985,신규,22.07~24.07,2022,명일동,"10,000",고덕주공9,5,140,3,83.52, , ,257,11740,12
 ,2019,신규, ,2022,명일동,"19,940",래미안솔베뉴,5,25,4,49.62, , ,359,11740,14
 ,1986,신규,22.07~24.07,2022,명일동,"75,000",명일우성,5,0,4,133.65, , ,42,11740,1
 ,1983,갱신,22.06~24.06,2022,명일동,"2,000",삼익그린2차,5,80,4,42.93,"2,000",67,15,11740,12
사용,1983,갱신,22.06~24.06,2022,명일동,"10,000",삼익그린2차,5,64,4,54.81,"10,000",60,15,11740,11
 ,1986,갱신,22.05~24.05,2022,명일동,"25,000",한양,5,88,5,119.37,"25,000",80,54,11740,10
 ,2019,신규,22.07~24.07,2022,명일동,"72,000",래미안솔베뉴,5,0,5,59.11, , ,359,11740,29
 ,1985,신규,22.07~24.07,2022,명일동,"53,000",고덕주공9,5,0,5,83.52, , ,257,11740,11
 ,2019,신규,22.05~24.05,2022,명일동,"10,000",래미안솔베뉴,5,190,5,59.11, , ,359,11740,34
 ,1986,신규,22.06~24.06,2022,명일동,"71,000",신동아,5,0,5,127.33, , ,44,11740,1
 ,2019,신규,22.08~24.08,2022,명일동,"70,000",래미안솔베뉴,5,0,6,59.11, , ,359,11740,14
 ,1983,갱신,22.05~24.05,2022,명일동,"44,000",삼익그린2차,5,0,6,66.87,"34,000", ,15,11740,5
 ,1985, , ,2022,명일동,"50,000",고덕주공9,5,0,7,83.52, , ,257,11740,2
 ,1985, ,22.07~24.07,2022,명일동,"50,000",고덕주공9,5,0,7,83.52, , ,257,11740,2
 ,1983, , ,2022,명일동,"24,150",삼익그린2차,5,0,7,42.93, , ,15,11740,14
 ,1983, , ,2022,명일동,"46,000",삼익그린2차,5,0,9,54.81, , ,15,11740,10
 ,1983, , ,2022,명일동,"42,000",삼익그린2차,5,0,9,84.755, , ,15,11740,15
 ,1983,신규,22.06~24.06,2022,명일동,"46,000",삼익그린2차,5,0,9,54.81, , ,15,11740,10
 ,1983,갱신,22.08~24.08,2022,명일동,"22,000",삼익그린2차,5,50,9,54.81,"22,000", ,15,11740,10
 ,2019, , ,2022,명일동,"46,200",래미안솔베뉴,5,0,10,59.11, , ,359,11740,2
 ,1983,신규,22.07~24.07,2022,명일동,"20,000",삼익그린2차,5,85,10,66.87, , ,15,11740,1
 ,2019,신규,22.07~24.07,2022,명일동,"46,200",래미안솔베뉴,5,0,10,59.11, , ,359,11740,2
 ,1984,신규,22.08~24.08,2022,명일동,"26,000",삼익가든,5,40,10,57.01, , ,270,11740,9
사용,1985,갱신,22.07~24.07,2022,명일동,"42,000",고덕주공9,5,0,10,83.52,"40,000", ,257,11740,15
 ,1983, , ,2022,명일동,"20,000",삼익그린2차,5,60,10,84.755, , ,15,11740,6
 ,1992,신규,22.05~24.05,2022,명일동,"44,100",삼환,5,0,10,84.93, , ,47,11740,2
 ,1983,신규,22.07~24.07,2022,명일동,"30,000",삼익그린2차,5,0,11,42.93, , ,15,11740,14
 ,1986,신규,22.06~24.06,2022,명일동,"30,000",한양,5,90,11,84.92, , ,54,11740,15
사용,1984,갱신,22.07~24.07,2022,명일동,"29,400",삼익그린2차,5,0,11,54.81,"28,000", ,15,11740,13
