갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,1998, , ,2020,가산동,"33,000",두산,6,0,3,59.84, , ,769,11545,25
 ,1998, , ,2020,가산동,"31,300",두산,6,0,4,84.9, , ,769,11545,23
 ,2018, , ,2020,가산동,"12,000",가산지웰에스테이트2차,6,0,5,14.12, , ,143-6,11545,8
 ,2014, , ,2020,가산동,"3,500",비즈트위트바이올렛5차,6,30,7,12.19, , ,140-36,11545,9
 ,2018, ,21.07~22.07,2020,가산동,"3,500",가산지웰에스테이트2차,6,26,7,14.12, , ,143-6,11545,5
 ,2013, , ,2020,가산동,"12,000",가산지웰에스테이트,6,0,8,12.13, , ,140-9,11545,12
 ,1998, , ,2020,가산동,"35,000",두산,6,0,9,84.9, , ,769,11545,16
 ,2013, , ,2020,가산동,500,가산양우내안에애플,6,55,9,15.73, , ,141-2,11545,14
 ,2018, , ,2020,가산동,500,가산지웰에스테이트2차,6,50,9,14.12, , ,143-6,11545,10
 ,2018, , ,2020,가산동,500,가산지웰에스테이트2차,6,50,10,14.12, , ,143-6,11545,7
 ,2014, , ,2020,가산동,"12,000",비즈트위트바이올렛5차,6,0,11,12.19, , ,140-36,11545,12
 ,2018, , ,2020,가산동,"12,000",가산지웰에스테이트2차,6,0,11,14.12, , ,143-6,11545,12
 ,1998, , ,2020,가산동,"42,000",두산,6,0,11,134.95, , ,769,11545,14
 ,1998, , ,2020,가산동,"32,000",두산,6,0,12,59.84, , ,769,11545,15
 ,2018, , ,2020,가산동,"3,500",가산지웰에스테이트2차,6,26,15,14.12, , ,143-6,11545,5
 ,2018, , ,2020,가산동,"12,050",가산지웰에스테이트2차,6,0,15,14.12, , ,143-6,11545,12
 ,1998, , ,2020,가산동,"22,000",삼익,6,0,15,59.94, , ,234-46,11545,4
 ,2013, , ,2020,가산동,500,가산지웰에스테이트,6,50,15,16.26, , ,140-9,11545,12
 ,1998, , ,2020,가산동,"7,000",두산,6,100,16,101.67, , ,769,11545,13
 ,1998, , ,2020,가산동,"27,000",삼익,6,0,20,59.94, , ,234-46,11545,12
 ,1998, , ,2020,가산동,"35,000",두산,6,0,20,84.9, , ,769,11545,16
 ,2018, , ,2020,가산동,300,가산지웰에스테이트2차,6,55,20,14.12, , ,143-6,11545,10
 ,2018, , ,2020,가산동,500,가산지웰에스테이트2차,6,52,22,14.12, , ,143-6,11545,11
 ,2018, , ,2020,가산동,"12,000",가산지웰에스테이트2차,6,0,24,14.12, , ,143-6,11545,12
 ,2014, , ,2020,가산동,"11,500",비즈트위트바이올렛5차,6,0,25,12.19, , ,140-36,11545,9
 ,1999, , ,2020,독산동,"36,000",독산현대,6,0,1,83.73, , ,293-10,11545,14
 ,1991, , ,2020,독산동,"32,000",한신아파트,6,0,2,89.46, , ,1093-4,11545,1
 ,1999, , ,2020,독산동,"26,000",독산현대,6,0,2,58.72, , ,293-10,11545,9
 ,2016, , ,2020,독산동,"56,000",금천롯데캐슬골드파크1차,6,0,2,84.4623, , ,1147,11545,21
 ,1997, , ,2020,독산동,"29,000",진도2차,6,0,4,84.58, , ,1133,11545,1
 ,1997, , ,2020,독산동,"31,000",진도2차,6,0,4,84.58, , ,1133,11545,13
 ,2002, , ,2020,독산동,"31,000",금천현대,6,0,5,84.83, , ,711-2,11545,8
 ,2016, , ,2020,독산동,"50,000",금천롯데캐슬골드파크1차,6,0,5,84.4657, , ,1147,11545,9
 ,2019, , ,2020,독산동,"15,000",e편한세상독산더타워,6,95,5,59.8245, , ,1007-13,11545,34
 ,2016, , ,2020,독산동,"60,000",금천롯데캐슬골드파크1차,6,0,5,84.8114, , ,1147,11545,31
 ,2017, , ,2020,독산동,"45,000",금천롯데캐슬골드파크2차201동202동,6,0,6,59.27, , ,1150,11545,22
 ,2016, , ,2020,독산동,"20,000",금천롯데캐슬골드파크1차,6,0,6,59.9935, , ,1147,11545,24
 ,2008, , ,2020,독산동,"42,000",이랜드해가든,6,0,6,84.927, , ,1143,11545,13
 ,1991, , ,2020,독산동,"36,000",한신아파트,6,0,8,89.46, , ,1093-4,11545,16
 ,2016, , ,2020,독산동,"75,000",금천롯데캐슬골드파크1차,6,0,8,101.8228, , ,1147,11545,29
 ,1991, , ,2020,독산동,"21,000",한신아파트,6,0,8,89.46, , ,1093-4,11545,4
 ,1990, , ,2020,독산동,"4,000",독산주공14단지,6,90,8,84.79, , ,1088,11545,13
 ,1999, , ,2020,독산동,"25,000",독산현대,6,0,9,58.72, , ,293-10,11545,1
 ,2016, , ,2020,독산동,"48,000",금천롯데캐슬골드파크1차,6,0,9,59.9935, , ,1147,11545,17
 ,1999, , ,2020,독산동,"26,000",독산현대,6,0,9,58.72, , ,293-10,11545,10
 ,2011, , ,2020,독산동,"36,000",독산동한양수자인,6,0,9,67.824, , ,1144,11545,8
 ,2002, , ,2020,독산동,"33,000",금천현대,6,0,10,84.83, , ,711-2,11545,10
 ,2018, , ,2020,독산동,"45,600",금천롯데캐슬골드파크3차,6,0,10,59.9672, , ,1155,11545,34
 ,1990, , ,2020,독산동,"18,000",독산주공14단지,6,0,11,44.89, , ,1088,11545,13
 ,2016, , ,2020,독산동,"58,000",금천롯데캐슬골드파크1차,6,0,11,84.8114, , ,1147,11545,19
 ,2016, , ,2020,독산동,"45,000",금천롯데캐슬골드파크1차,6,0,12,59.9384, , ,1147,11545,17
 ,2002, , ,2020,독산동,"3,000",금천현대,6,0,12,84.83, , ,711-2,11545,15
 ,2002, , ,2020,독산동,"31,000",금천현대,6,0,13,84.83, , ,711-2,11545,17
 ,1999, , ,2020,독산동,"19,000",독산현대,6,30,13,58.72, , ,293-10,11545,4
 ,1990, , ,2020,독산동,"8,000",독산주공14단지,6,15,13,38.64, , ,1088,11545,9
 ,1991, , ,2020,독산동,"5,000",한신아파트,6,90,17,89.46, , ,1093-4,11545,5
 ,2011, , ,2020,독산동,"7,000",독산동한양수자인,6,100,18,68.161, , ,1144,11545,6
 ,2003, , ,2020,독산동,"31,000",예전이룸(965-1),6,0,18,82.395, , ,965-1,11545,3
 ,1990, , ,2020,독산동,"3,000",독산주공14단지,6,35,18,38.64, , ,1088,11545,4
 ,1999, , ,2020,독산동,"27,000",독산현대,6,0,19,58.72, , ,293-10,11545,2
 ,2002, , ,2020,독산동,"32,000",금천현대,6,0,19,84.83, , ,711-2,11545,12
 ,2002, , ,2020,독산동,"30,000",금천현대,6,0,19,59.82, , ,711-2,11545,19
 ,2002, , ,2020,독산동,"29,000",금천현대,6,0,19,59.82, , ,711-2,11545,18
 ,2002, , ,2020,독산동,"28,000",신도브래뉴,6,0,20,55.55, , ,955,11545,10
 ,2002, , ,2020,독산동,"27,000",금천현대,6,0,20,59.82, , ,711-2,11545,12
 ,1990, , ,2020,독산동,"22,000",독산주공14단지,6,0,20,44.94, , ,1088,11545,7
 ,2016, , ,2020,독산동,"62,000",금천롯데캐슬골드파크1차,6,0,20,84.8114, , ,1147,11545,15
 ,2016, , ,2020,독산동,"56,000",금천롯데캐슬골드파크1차,6,0,20,72.5249, , ,1147,11545,7
 ,2018, , ,2020,독산동,"48,000",금천롯데캐슬골드파크3차,6,0,20,59.9672, , ,1155,11545,30
 ,2018, , ,2020,독산동,"35,000",금천롯데캐슬골드파크3차,6,80,23,84.408, , ,1155,11545,22
 ,2018, , ,2020,독산동,"35,000",금천롯데캐슬골드파크3차,6,80,23,84.408, , ,1155,11545,22
 ,1997, , ,2020,독산동,"3,000",목화102,6,70,24,59.96, , ,961-13,11545,7
 ,2014, , ,2020,독산동,"10,500",골드캐슬(1031-22),6,0,24,16.78, , ,1031-22,11545,11
 ,2018, , ,2020,독산동,"46,000",금천롯데캐슬골드파크3차,6,0,24,59.968, , ,1155,11545,28
 ,1997, , ,2020,독산동,"30,000",진도2차,6,0,26,84.58, , ,1133,11545,2
 ,1996, , ,2020,독산동,"27,000",진도1차,6,0,26,84.84, , ,1002,11545,1
 ,2008, , ,2020,독산동,"42,000",이랜드해가든,6,0,27,84.935, , ,1143,11545,15
 ,2004, , ,2020,독산동,"38,000",독산동중앙하이츠빌,6,0,27,84.8768, , ,1140,11545,13
